contrast_type,comparison,estimate,std_error,odds_ratio,ci_low,ci_high,z,p_value,p_value_holm,effect_size,notes
first_check_rate_pairwise,default vs random,-0.012800000000000034,,,-0.03907313408232707,0.013473134082327004,-0.9547871903134438,0.33968532659628803,1.0,-0.027006558387594914,Estimate is first-check wolf-rate difference; effect_size is Cohen h.
first_check_rate_pairwise,default vs edge_first,-0.007600000000000051,,,-0.033825830962485745,0.018625830962485646,-0.5679608699679722,0.5700615383430241,1.0,-0.016064592662022203,Estimate is first-check wolf-rate difference; effect_size is Cohen h.
first_check_rate_pairwise,default vs inner_first,0.01639999999999997,,,-0.009585682367067628,0.042385682367067565,1.2367769222046077,0.2161699119955629,1.0,0.034983853545428545,Estimate is first-check wolf-rate difference; effect_size is Cohen h.
first_check_rate_pairwise,default vs highest_p_wolf,0.009999999999999953,,,-0.016053260345075582,0.036053260345075486,0.752248680348814,0.45190152364032365,1.0,0.02127736574341421,Estimate is first-check wolf-rate difference; effect_size is Cohen h.
first_check_rate_pairwise,default vs highest_suspicion,-0.0012000000000000344,,,-0.027365314534397795,0.024965314534397726,-0.08988827090144688,0.9283760018836957,1.0,-0.002542425171941698,Estimate is first-check wolf-rate difference; effect_size is Cohen h.
first_check_rate_pairwise,default vs opposite_side,0.014399999999999968,,,-0.011607079316151646,0.04040707931615158,1.085095243357858,0.2778794738514141,1.0,0.030692823236396327,Estimate is first-check wolf-rate difference; effect_size is Cohen h.
first_check_rate_pairwise,random vs edge_first,0.005199999999999982,,,-0.02114495372123551,0.031544953721235475,0.3868543592604028,0.6988640314091146,1.0,0.010941965725572711,Estimate is first-check wolf-rate difference; effect_size is Cohen h.
first_check_rate_pairwise,random vs inner_first,0.029200000000000004,,,0.003094099039043032,0.05530590096095697,2.1912081489074584,0.028436733179671325,0.5971713967730978,0.06199041193302346,Estimate is first-check wolf-rate difference; effect_size is Cohen h.
first_check_rate_pairwise,random vs highest_p_wolf,0.022799999999999987,,,-0.003373168541646848,0.04897316854164682,1.706868532781833,0.08784649075195894,1.0,0.048283924131009126,Estimate is first-check wolf-rate difference; effect_size is Cohen h.
first_check_rate_pairwise,random vs highest_suspicion,0.0116,,,-0.014684711556057314,0.03788471155605731,0.864908916108794,0.3870887834621355,1.0,0.024464133215653217,Estimate is first-check wolf-rate difference; effect_size is Cohen h.
first_check_rate_pairwise,random vs opposite_side,0.027200000000000002,,,0.0010728005431548948,0.05332719945684511,2.0395924485635506,0.041390934804552026,0.8278186960910405,0.05769938162399124,Estimate is first-check wolf-rate difference; effect_size is Cohen h.
first_check_rate_pairwise,edge_first vs inner_first,0.02400000000000002,,,-0.0020582942678186757,0.050058294267818715,1.80456228695211,0.07114320402415975,1.0,0.05104844620745075,Estimate is first-check wolf-rate difference; effect_size is Cohen h.
first_check_rate_pairwise,edge_first vs highest_p_wolf,0.017600000000000005,,,-0.008525684424994306,0.04372568442499432,1.320132072619148,0.18679092620590154,1.0,0.037341958405436415,Estimate is first-check wolf-rate difference; effect_size is Cohen h.
first_check_rate_pairwise,edge_first vs highest_suspicion,0.006400000000000017,,,-0.019837429309100967,0.032637429309101004,0.47807590651927245,0.6325961798130362,1.0,0.013522167490080506,Estimate is first-check wolf-rate difference; effect_size is Cohen h.
first_check_rate_pairwise,edge_first vs opposite_side,0.02200000000000002,,,-0.004079631642772582,0.048079631642772624,1.6529154213193074,0.09834807814123403,1.0,0.04675741589841853,Estimate is first-check wolf-rate difference; effect_size is Cohen h.
first_check_rate_pairwise,inner_first vs highest_p_wolf,-0.006400000000000017,,,-0.032284606720667894,0.01948460672066786,-0.4845920615402935,0.6279657459656061,1.0,-0.013706487802014333,Estimate is first-check wolf-rate difference; effect_size is Cohen h.
first_check_rate_pairwise,inner_first vs highest_suspicion,-0.017600000000000005,,,-0.04359738785261562,0.00839738785261561,-1.326644609574335,0.18462627183226687,1.0,-0.03752627871737024,Estimate is first-check wolf-rate difference; effect_size is Cohen h.
first_check_rate_pairwise,inner_first vs opposite_side,-0.0020000000000000018,,,-0.027838124255292997,0.023838124255292994,-0.15171066243755962,0.8794151471139142,1.0,-0.004291030309032218,Estimate is first-check wolf-rate difference; effect_size is Cohen h.
first_check_rate_pairwise,highest_p_wolf vs highest_suspicion,-0.011199999999999988,,,-0.037264935482089395,0.014864935482089416,-0.8421290672443164,0.3997157125894928,1.0,-0.02381979091535591,Estimate is first-check wolf-rate difference; effect_size is Cohen h.
first_check_rate_pairwise,highest_p_wolf vs opposite_side,0.004400000000000015,,,-0.021506087152600196,0.030306087152600227,0.3328849284653363,0.7392211465993359,1.0,0.009415457492982116,Estimate is first-check wolf-rate difference; effect_size is Cohen h.
first_check_rate_pairwise,highest_suspicion vs opposite_side,0.015600000000000003,,,-0.010418775175511218,0.04161877517551123,1.1749675598812526,0.24000769451805626,1.0,0.033235248408338025,Estimate is first-check wolf-rate difference; effect_size is Cohen h.
adjusted_village_win_model,edge_first vs random,0.04717489827878571,0.058140317293661585,1.0483053398466515,0.9354028099681102,1.1748351339552516,0.8113973310553069,0.417137531353736,,,Log-odds contrast from adjusted village-win model.
adjusted_village_win_model,edge_first vs inner_first,-0.025083710915877355,0.05801237853473514,0.9752282713594878,0.8704143785862406,1.0926636837084176,-0.43238549339704085,0.6654612597355747,,,Log-odds contrast from adjusted village-win model.
adjusted_village_win_model,edge_first vs default,0.16880616812471305,0.05855174407268355,1.1838906409396075,1.0555340617499178,1.3278558224646548,2.8830254469476526,0.003938756208873517,,,Log-odds contrast from adjusted village-win model.
