model,term,coef,std_error,odds_ratio,ci_low,ci_high,z,p_value,n,log_likelihood,aic,note
main_adjusted,intercept,-0.5172579983762159,0.06648992867856081,0.5961529612953109,0.523312821887867,0.6791317514045578,-7.779493957300663,7.327471962526033e-15,17500,-11466.279738387013,22962.559476774026,
main_adjusted,strategy:default,-0.12163126984592734,0.05865201303225167,0.8854748095775575,0.7893171274100589,0.9933467945502735,-2.0737782653605517,0.03809990861176438,17500,-11466.279738387013,22962.559476774026,
main_adjusted,strategy:edge_first,0.04717489827878571,0.058140317293661585,1.0483053398466515,0.9354028099681102,1.1748351339552516,0.8113973310553069,0.417137531353736,17500,-11466.279738387013,22962.559476774026,
main_adjusted,strategy:inner_first,0.07225860919466306,0.058135678086991924,1.074933295755765,0.9591716552877796,1.2046661136766728,1.2429305303111482,0.21389343411910944,17500,-11466.279738387013,22962.559476774026,
main_adjusted,strategy:highest_p_wolf,-0.22857207532348658,0.059104542836332805,0.7956689470409974,0.7086348894497838,0.89339246868989,-3.867250542084872,0.00011006932911405976,17500,-11466.279738387013,22962.559476774026,
main_adjusted,strategy:highest_suspicion,-0.23709894113894034,0.05912868835163128,0.7889132281826874,0.7025848931306493,0.8858489382376935,-4.009879937280887,6.0749629712253395e-05,17500,-11466.279738387013,22962.559476774026,
main_adjusted,strategy:opposite_side,-0.017447270768047446,0.05836749970215421,0.9827040515288296,0.8764764282246279,1.1018063028201373,-0.2989209895417793,0.7650003315705458,17500,-11466.279738387013,22962.559476774026,
main_adjusted,first_check_target_is_wolf,0.5651405470213817,0.03287201355752244,1.7596950852453628,1.6498965423643948,1.8768005832651706,17.19214875694935,0.0,17500,-11466.279738387013,22962.559476774026,
main_adjusted,wolves_on_edge,-0.013560018104173713,0.021049252160363317,0.9865315047902434,0.9466595120284433,1.0280828508851025,-0.6442042691525086,0.5194429829138847,17500,-11466.279738387013,22962.559476774026,
main_adjusted,seer_seat_centered,0.05489412830126982,0.011142612150870286,1.0564287628469171,1.0336073962051824,1.0797540101471192,4.926504445995848,8.371370836535164e-07,17500,-11466.279738387013,22962.559476774026,
main_adjusted,seer_side:right,-0.07953500958392276,0.06398652545566608,0.9235456864524019,0.8146910682424688,1.046944870532184,-1.2429962248697135,0.21386922460337487,17500,-11466.279738387013,22962.559476774026,
main_adjusted,seed:43,0.017301270826977227,0.04954696191471815,1.0174518047024352,0.923292687616962,1.12121344485478,0.3491893379205922,0.7269471701393337,17500,-11466.279738387013,22962.559476774026,
main_adjusted,seed:44,-0.040746527297239606,0.04970245098694216,0.9600724512679085,0.8709579848048693,1.0583049099550748,-0.8198092143975866,0.4123248773457038,17500,-11466.279738387013,22962.559476774026,
main_adjusted,seed:45,-0.06831343525677147,0.04980149835932729,0.9339676892926421,0.8471118163882754,1.0297290484764279,-1.371714456538577,0.17015234622587605,17500,-11466.279738387013,22962.559476774026,
main_adjusted,seed:46,-0.0008676385566097057,0.04961347551152672,0.9991327377328871,0.9065507518958347,1.1011697089456696,-0.017487961640746712,0.9860473365982831,17500,-11466.279738387013,22962.559476774026,
main_no_seed_fixed_effects_seed_clustered_se,intercept,-0.5356430725336797,0.07003312521178856,0.5852927833840355,0.5102239787394243,0.6714063951439326,-7.648424526448461,2.042810365310288e-14,17500,-11468.2636245688,22958.5272491376,"Clustered by seed without seed fixed effects; only five clusters, so use as sensitivity evidence."
main_no_seed_fixed_effects_seed_clustered_se,strategy:default,-0.12153614410540745,0.04520534901031638,0.8855590450309467,0.8104732034749399,0.9676011728379993,-2.688534581995407,0.0071766401682380465,17500,-11468.2636245688,22958.5272491376,"Clustered by seed without seed fixed effects; only five clusters, so use as sensitivity evidence."
main_no_seed_fixed_effects_seed_clustered_se,strategy:edge_first,0.04714595661959733,0.04756104320358243,1.0482750005898167,0.9549732253982982,1.1506924462759271,0.9912725508940511,0.3215525125104435,17500,-11468.2636245688,22958.5272491376,"Clustered by seed without seed fixed effects; only five clusters, so use as sensitivity evidence."
main_no_seed_fixed_effects_seed_clustered_se,strategy:inner_first,0.07222392516757038,0.08347105066288789,1.074896013386767,0.9126741815205053,1.265951708713704,0.865257171127018,0.3868976524094845,17500,-11468.2636245688,22958.5272491376,"Clustered by seed without seed fixed effects; only five clusters, so use as sensitivity evidence."
main_no_seed_fixed_effects_seed_clustered_se,strategy:highest_p_wolf,-0.22858808319583662,0.0547991819640135,0.7956562101760056,0.7146284610590582,0.8858712453929626,-4.171377655709348,3.0276359917813522e-05,17500,-11468.2636245688,22958.5272491376,"Clustered by seed without seed fixed effects; only five clusters, so use as sensitivity evidence."
main_no_seed_fixed_effects_seed_clustered_se,strategy:highest_suspicion,-0.23703972187542627,0.02960346938456828,0.7889599484263925,0.7444858331719408,0.8360908596056759,-8.007160201263117,1.1102230246251565e-15,17500,-11468.2636245688,22958.5272491376,"Clustered by seed without seed fixed effects; only five clusters, so use as sensitivity evidence."
main_no_seed_fixed_effects_seed_clustered_se,strategy:opposite_side,-0.01748219364255506,0.07454487960369995,0.9826697332778094,0.8490922231959096,1.1372613931920097,-0.23451904054973285,0.814582053080718,17500,-11468.2636245688,22958.5272491376,"Clustered by seed without seed fixed effects; only five clusters, so use as sensitivity evidence."
main_no_seed_fixed_effects_seed_clustered_se,first_check_target_is_wolf,0.5651745253665756,0.03274545702441711,1.7597548777882253,1.6503619193845411,1.8763988635015878,17.259631616842157,0.0,17500,-11468.2636245688,22958.5272491376,"Clustered by seed without seed fixed effects; only five clusters, so use as sensitivity evidence."
main_no_seed_fixed_effects_seed_clustered_se,wolves_on_edge,-0.014081896764775092,0.01875042737484898,0.9860167893710614,0.9504382745757477,1.0229271431178373,-0.7510173759379984,0.4526421986150049,17500,-11468.2636245688,22958.5272491376,"Clustered by seed without seed fixed effects; only five clusters, so use as sensitivity evidence."
main_no_seed_fixed_effects_seed_clustered_se,seer_seat_centered,0.054598321901731854,0.011682637846323712,1.0561163106731657,1.03220859387082,1.080577771094868,4.673458393552175,2.9616972621049342e-06,17500,-11468.2636245688,22958.5272491376,"Clustered by seed without seed fixed effects; only five clusters, so use as sensitivity evidence."
main_no_seed_fixed_effects_seed_clustered_se,seer_side:right,-0.07835603816514107,0.05171040156099635,0.9246351625250486,0.8355153466850611,1.0232608978036974,-1.515285818709301,0.12970003805959496,17500,-11468.2636245688,22958.5272491376,"Clustered by seed without seed fixed effects; only five clusters, so use as sensitivity evidence."
post_treatment_adjusted_sensitivity,intercept,-2.0402231495446808,0.08944702215093303,0.12999969826799376,0.10909501366116665,0.15491011901110469,-22.809290913027887,0.0,17500,-10067.285335531891,20168.570671063782,Includes post-treatment total_seer_checks and seer_survived_to_game_end; not causal.
post_treatment_adjusted_sensitivity,strategy:default,-0.11472237392217201,0.0639285263800381,0.8916136447480271,0.7866121418724856,1.0106313508058347,-1.794541191833173,0.07272683004077951,17500,-10067.285335531891,20168.570671063782,Includes post-treatment total_seer_checks and seer_survived_to_game_end; not causal.
post_treatment_adjusted_sensitivity,strategy:edge_first,0.053421448969515846,0.0634752244679678,1.054874127063368,0.9314733446166932,1.194622938357522,0.8416110288270741,0.4000057139050224,17500,-10067.285335531891,20168.570671063782,Includes post-treatment total_seer_checks and seer_survived_to_game_end; not causal.
post_treatment_adjusted_sensitivity,strategy:inner_first,0.0761537047733264,0.06337506047785338,1.0791284286011558,0.9530774287216985,1.2218505341975132,1.2016352205287215,0.22950488936334024,17500,-10067.285335531891,20168.570671063782,Includes post-treatment total_seer_checks and seer_survived_to_game_end; not causal.
