role,policy,game_count,matched_set_count,seed_count,behavioral_regime_count,village_win_rate,wolf_win_rate,mean_actor_payoff,actor_payoff_ci,stdev_payoff,downside_deviation,negative_payoff_probability,var_like_90,var_like_95,cvar_like_90,cvar_like_95,sharpe_like_ratio,sortino_like_ratio,frontier_stdev,frontier_downside,frontier_cvar95,source_data
Werewolf,aggressive_false_accuse,1000,1000,20,10,0.3400,0.6600,0.5939,"[0.5325, 0.6553]",0.9910,0.4586,0.3400,-0.8167,-0.8667,-0.8558,-0.8850,0.5993,1.2952,False,False,False,results/targeted_strategy_stage_r61/r61_wolf_policy_summary.csv
Werewolf,aggressive_kill_restrained_deception,1000,1000,20,10,0.3330,0.6670,0.6062,"[0.5450, 0.6675]",0.9889,0.4575,0.3330,-0.8333,-0.8667,-0.8678,-0.8866,0.6131,1.3251,False,False,True,results/targeted_strategy_stage_r61/r61_wolf_policy_summary.csv
Werewolf,threat_adaptive,1000,1000,20,10,0.2920,0.7080,0.6969,"[0.6383, 0.7556]",0.9461,0.4191,0.2920,-0.8000,-0.8333,-0.8462,-0.8679,0.7366,1.6630,True,True,True,results/targeted_strategy_stage_r61/r61_wolf_policy_summary.csv
Werewolf,deep_cover,1000,1000,20,10,0.5940,0.4060,0.0831,"[0.0190, 0.1471]",1.0336,0.5954,0.5940,-0.8333,-0.8667,-0.8626,-0.8877,0.0804,0.1395,False,False,False,results/targeted_strategy_stage_r61/r61_wolf_policy_summary.csv
Werewolf,minimal_deception,1000,1000,20,10,0.3460,0.6540,0.5951,"[0.5330, 0.6572]",1.0013,0.4595,0.3460,-0.8167,-0.8667,-0.8591,-0.8890,0.5943,1.2952,False,False,True,results/targeted_strategy_stage_r61/r61_wolf_policy_summary.csv
Villager,reference,1000,1000,20,10,0.2910,0.7090,-0.3385,"[-0.3980, -0.2790]",0.9606,0.8031,0.7090,-1.0000,-1.0250,-1.0238,-1.0408,-0.3524,-0.4215,True,False,False,results/targeted_strategy_stage_r61/r61_villager_policy_summary.csv
Villager,random_vote,1000,1000,20,10,0.2300,0.7700,-0.4727,"[-0.5271, -0.4184]",0.8770,0.8357,0.7700,-1.0125,-1.0250,-1.0287,-1.0377,-0.5391,-0.5657,True,False,False,results/targeted_strategy_stage_r61/r61_villager_policy_summary.csv
Villager,suspicion_only,1000,1000,20,10,0.2930,0.7070,-0.3308,"[-0.3910, -0.2707]",0.9703,0.8033,0.7070,-1.0000,-1.0250,-1.0264,-1.0441,-0.3410,-0.4119,True,False,True,results/targeted_strategy_stage_r61/r61_villager_policy_summary.csv
Villager,p_wolf_only,1000,1000,20,10,0.2400,0.7600,-0.4463,"[-0.5026, -0.3901]",0.9073,0.8335,0.7600,-1.0000,-1.0250,-1.0216,-1.0403,-0.4919,-0.5355,True,False,False,results/targeted_strategy_stage_r61/r61_villager_policy_summary.csv
Villager,trust_weighted,1000,1000,20,10,0.4020,0.5980,-0.0940,"[-0.1586, -0.0293]",1.0429,0.7335,0.5980,-0.9875,-1.0000,-1.0042,-1.0229,-0.0901,-0.1281,True,True,True,results/targeted_strategy_stage_r61/r61_villager_policy_summary.csv
Villager,guarded_herding,1000,1000,20,10,0.3340,0.6660,-0.2443,"[-0.3062, -0.1824]",0.9994,0.7767,0.6660,-0.9875,-1.0125,-1.0052,-1.0384,-0.2444,-0.3145,True,False,True,results/targeted_strategy_stage_r61/r61_villager_policy_summary.csv
