matched_set_id,seed,base_game_index,strategy,reference_label_condition,comparison_label_condition,reference_game_id,comparison_game_id,reference_winner,comparison_winner,outcome_agreement,physical_first_target_matches_reference,physical_check_sequence_matches_reference_until_divergence,physical_final_alive_set_matches,first_divergence_round,first_divergence_phase,first_divergence_event_type
alternate_physical_sides_seed_42_base_11,42,11,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_11_normal,alternate_physical_sides_seed_42_base_11_rotated,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_110,42,110,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_110_normal,alternate_physical_sides_seed_42_base_110_mirrored,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_110,42,110,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_110_normal,alternate_physical_sides_seed_42_base_110_rotated,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_111,42,111,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_111_normal,alternate_physical_sides_seed_42_base_111_mirrored,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_111,42,111,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_111_normal,alternate_physical_sides_seed_42_base_111_rotated,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_112,42,112,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_112_normal,alternate_physical_sides_seed_42_base_112_mirrored,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_112,42,112,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_112_normal,alternate_physical_sides_seed_42_base_112_rotated,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_113,42,113,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_113_normal,alternate_physical_sides_seed_42_base_113_mirrored,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_113,42,113,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_113_normal,alternate_physical_sides_seed_42_base_113_rotated,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_114,42,114,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_114_normal,alternate_physical_sides_seed_42_base_114_mirrored,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_114,42,114,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_114_normal,alternate_physical_sides_seed_42_base_114_rotated,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_115,42,115,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_115_normal,alternate_physical_sides_seed_42_base_115_mirrored,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_115,42,115,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_115_normal,alternate_physical_sides_seed_42_base_115_rotated,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_116,42,116,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_116_normal,alternate_physical_sides_seed_42_base_116_mirrored,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_116,42,116,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_116_normal,alternate_physical_sides_seed_42_base_116_rotated,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_117,42,117,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_117_normal,alternate_physical_sides_seed_42_base_117_mirrored,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_117,42,117,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_117_normal,alternate_physical_sides_seed_42_base_117_rotated,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_118,42,118,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_118_normal,alternate_physical_sides_seed_42_base_118_mirrored,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_118,42,118,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_118_normal,alternate_physical_sides_seed_42_base_118_rotated,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_119,42,119,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_119_normal,alternate_physical_sides_seed_42_base_119_mirrored,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_119,42,119,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_119_normal,alternate_physical_sides_seed_42_base_119_rotated,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_12,42,12,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_12_normal,alternate_physical_sides_seed_42_base_12_mirrored,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_12,42,12,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_12_normal,alternate_physical_sides_seed_42_base_12_rotated,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_120,42,120,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_120_normal,alternate_physical_sides_seed_42_base_120_mirrored,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_120,42,120,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_120_normal,alternate_physical_sides_seed_42_base_120_rotated,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_121,42,121,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_121_normal,alternate_physical_sides_seed_42_base_121_mirrored,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_121,42,121,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_121_normal,alternate_physical_sides_seed_42_base_121_rotated,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_122,42,122,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_122_normal,alternate_physical_sides_seed_42_base_122_mirrored,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_122,42,122,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_122_normal,alternate_physical_sides_seed_42_base_122_rotated,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_123,42,123,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_123_normal,alternate_physical_sides_seed_42_base_123_mirrored,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_123,42,123,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_123_normal,alternate_physical_sides_seed_42_base_123_rotated,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_124,42,124,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_124_normal,alternate_physical_sides_seed_42_base_124_mirrored,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_124,42,124,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_124_normal,alternate_physical_sides_seed_42_base_124_rotated,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_125,42,125,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_125_normal,alternate_physical_sides_seed_42_base_125_mirrored,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_125,42,125,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_125_normal,alternate_physical_sides_seed_42_base_125_rotated,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_126,42,126,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_126_normal,alternate_physical_sides_seed_42_base_126_mirrored,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_126,42,126,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_126_normal,alternate_physical_sides_seed_42_base_126_rotated,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_127,42,127,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_127_normal,alternate_physical_sides_seed_42_base_127_mirrored,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_127,42,127,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_127_normal,alternate_physical_sides_seed_42_base_127_rotated,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_128,42,128,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_128_normal,alternate_physical_sides_seed_42_base_128_mirrored,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_128,42,128,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_128_normal,alternate_physical_sides_seed_42_base_128_rotated,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_129,42,129,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_129_normal,alternate_physical_sides_seed_42_base_129_mirrored,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_129,42,129,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_129_normal,alternate_physical_sides_seed_42_base_129_rotated,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_13,42,13,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_13_normal,alternate_physical_sides_seed_42_base_13_mirrored,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_13,42,13,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_13_normal,alternate_physical_sides_seed_42_base_13_rotated,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_130,42,130,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_130_normal,alternate_physical_sides_seed_42_base_130_mirrored,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_130,42,130,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_130_normal,alternate_physical_sides_seed_42_base_130_rotated,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_131,42,131,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_131_normal,alternate_physical_sides_seed_42_base_131_mirrored,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_131,42,131,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_131_normal,alternate_physical_sides_seed_42_base_131_rotated,village,village,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_132,42,132,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_132_normal,alternate_physical_sides_seed_42_base_132_mirrored,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_132,42,132,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_132_normal,alternate_physical_sides_seed_42_base_132_rotated,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_133,42,133,alternate_physical_sides,normal,mirrored,alternate_physical_sides_seed_42_base_133_normal,alternate_physical_sides_seed_42_base_133_mirrored,wolf,wolf,1,1,1,1,,none,none
alternate_physical_sides_seed_42_base_133,42,133,alternate_physical_sides,normal,rotated,alternate_physical_sides_seed_42_base_133_normal,alternate_physical_sides_seed_42_base_133_rotated,wolf,wolf,1,1,1,1,,none,none
