analysis_family,outcome,contrast,numerator,denominator,log_odds_ratio,odds_ratio,or_ci_low,or_ci_high,z_value,p_value,p_value_holm
village_win_pairwise,village_win,alternate_sides vs random,alternate_sides,random,0.14920877064039753,1.160915328948166,1.037602841775506,1.2988827195968875,2.6042782421682436,0.009206797941677737,0.05524078765006642
village_win_pairwise,village_win,alternate_sides vs right_to_left,alternate_sides,right_to_left,0.011365286519220835,1.0114301167600166,0.90454384570769,1.1309467041797419,0.1994449288804202,0.8419147182086484,1.0
village_win_pairwise,village_win,alternate_sides vs inner_first,alternate_sides,inner_first,0.08483934746265177,1.0885421755879057,0.9732252540944836,1.2175229352593588,1.4849661323029986,0.13755279587655964,0.4126583876296789
village_win_pairwise,village_win,alternate_sides vs edge_first,alternate_sides,edge_first,0.11116066004496367,1.1175744419921112,0.9990597477690997,1.2501480879226037,1.9435527294425257,0.05194941088619695,0.2077976435447878
village_win_pairwise,village_win,right_to_left vs random,right_to_left,random,0.1378434841211767,1.1477958879324313,1.0258382494550782,1.2842525622869059,2.405101470269454,0.01616797584135153,0.08083987920675766
village_win_pairwise,village_win,information_gain_proxy vs random,information_gain_proxy,random,0.024843419171097558,1.0251545884014253,0.9157939385586789,1.1475746735936245,0.43164843383874074,0.6659969510028569,1.0
village_win_pairwise,village_win,highest_p_wolf vs random,highest_p_wolf,random,-0.2405284374350662,0.7862122872693461,0.7010503770026675,0.8817194611549933,-4.112060119747757,3.921441442879536e-05,0.00027589777626884124
village_win_pairwise,village_win,highest_suspicion vs random,highest_suspicion,random,-0.24229033457373764,0.7848282816857853,0.6998052703622866,0.880181184424325,-4.14161278116803,3.4487222033605156e-05,0.00027589777626884124
