condition,wolf_win_rate,village_win_rate,avg_rounds,avg_payoff,conservative_count,neutral_count,aggressive_count,conservative_avg_payoff,neutral_avg_payoff,aggressive_avg_payoff,total_votes,aggressive_votes,conservative_votes,total_witch_poison,aggressive_witch_poison,conservative_witch_poison,total_wolf_deceptions,aggressive_wolf_deceptions,conservative_wolf_deceptions,credibility_cost_events,trust_updates
ten_player_trust_memory,0.456,0.544,3.372,0.22481999999999996,0,5000,0,,0.22481999999999996,,10570,0,0,289,0,0,3103,0,0,4240,13600
ten_player_trust_memory_risk_mixed,0.476,0.524,3.436,0.20792999999999998,1538,2009,1453,0.1640647602683685,0.2323903296950964,0.19386517106842732,10794,3177,3272,224,91,18,2831,976,574,3981,13967
ten_player_trust_memory_risk_conservative_majority,0.356,0.644,3.492,0.32183999999999996,3040,1477,483,0.30958690476190476,0.3414335826733157,0.28307127882599575,11291,1058,6911,154,31,51,2481,319,1149,3516,13157
ten_player_trust_memory_risk_aggressive_majority,0.506,0.494,3.326,0.17795999999999998,547,1454,2999,0.1961686390532544,0.20193085793816481,0.1450044841269841,10489,6247,1153,253,175,3,3047,1918,214,4419,14794
ten_player_credibility_cost,0.584,0.416,3.34,0.11191999999999998,0,5000,0,,0.11191999999999998,,10422,0,0,294,0,0,3096,0,0,4280,0
ten_player_credibility_cost_risk_mixed,0.626,0.374,3.378,0.07818999999999997,1466,2040,1494,0.06261806780325296,0.04831484126984124,0.12182555979270554,10533,3130,3119,229,97,21,2802,905,589,4219,0
ten_player_deception,0.792,0.208,3.226,-0.07365000000000003,0,5000,0,,-0.07365000000000003,,10039,0,0,297,0,0,3032,0,0,0,0
ten_player_deception_risk_mixed,0.804,0.196,3.298,-0.07994000000000004,1449,2013,1538,-0.146468583283936,-0.037483798963133676,-0.05368742055343701,10366,3255,2989,200,97,18,2856,978,523,0,0
