scenario_id,scenario_name,module,role,policy,original_mean_actor_payoff,adjusted_mean_actor_payoff,adjustment,basis
PS_02,core_like_terminal_075,seer,Seer,under_threat,-0.23095000000000002,-0.25404500,-0.02309500,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_02,core_like_terminal_075,seer,Seer,selective_useful_info,-0.21755000000000002,-0.23930500,-0.02175500,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_02,core_like_terminal_075,witch,Witch,reference,-0.16845000000000002,-0.18529500,-0.01684500,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_02,core_like_terminal_075,witch,Witch,aggressive_full,-0.03725000000000001,-0.04097500,-0.00372500,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_02,core_like_terminal_075,witch,Witch,save_aggressive_poison_conservative,-0.16180000000000003,-0.17798000,-0.01618000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_02,core_like_terminal_075,witch,Witch,save_conservative_poison_aggressive,-0.31185,-0.34303500,-0.03118500,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_02,core_like_terminal_075,witch,Witch,conservative_full,-0.49405,-0.54345500,-0.04940500,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_02,core_like_terminal_075,witch,Witch,risk_balanced,-0.17890000000000003,-0.19679000,-0.01789000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_02,core_like_terminal_075,wolf,Werewolf,reference,0.6969166666666666,0.62722500,-0.06969167,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_02,core_like_terminal_075,wolf,Werewolf,aggressive_false_accuse,0.5939,0.53451000,-0.05939000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_02,core_like_terminal_075,wolf,Werewolf,aggressive_kill_restrained_deception,0.6062499999999998,0.54562500,-0.06062500,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_02,core_like_terminal_075,wolf,Werewolf,threat_adaptive,0.6969166666666666,0.62722500,-0.06969167,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_02,core_like_terminal_075,wolf,Werewolf,deep_cover,0.08306666666666662,0.07476000,-0.00830667,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_02,core_like_terminal_075,wolf,Werewolf,minimal_deception,0.5951,0.53559000,-0.05951000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_02,core_like_terminal_075,villager,Villager,reference,-0.3384875,-0.37233625,-0.03384875,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_02,core_like_terminal_075,villager,Villager,random_vote,-0.47273750000000003,-0.52001125,-0.04727375,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_02,core_like_terminal_075,villager,Villager,suspicion_only,-0.3308375,-0.36392125,-0.03308375,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_02,core_like_terminal_075,villager,Villager,p_wolf_only,-0.446325,-0.49095750,-0.04463250,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_02,core_like_terminal_075,villager,Villager,trust_weighted,-0.09395000000000003,-0.10334500,-0.00939500,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_02,core_like_terminal_075,villager,Villager,guarded_herding,-0.24430000000000004,-0.26873000,-0.02443000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_03,core_like_terminal_125,hunter,Hunter,reference,-0.4138,-0.37242000,0.04138000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_03,core_like_terminal_125,hunter,Hunter,random_shot,-0.5746,-0.51714000,0.05746000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_03,core_like_terminal_125,hunter,Hunter,no_shot,-0.5586,-0.50274000,0.05586000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_03,core_like_terminal_125,hunter,Hunter,highest_suspicion,-0.4138,-0.37242000,0.04138000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_03,core_like_terminal_125,hunter,Hunter,highest_p_wolf,-0.4388,-0.39492000,0.04388000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_03,core_like_terminal_125,hunter,Hunter,conservative_threshold,-0.5513000000000001,-0.49617000,0.05513000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_03,core_like_terminal_125,seer,Seer,private_only,-0.2353,-0.21177000,0.02353000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_03,core_like_terminal_125,seer,Seer,immediate_reveal,-0.15905000000000002,-0.14314500,0.01590500,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_03,core_like_terminal_125,seer,Seer,reveal_first_wolf,-0.2155,-0.19395000,0.02155000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_03,core_like_terminal_125,seer,Seer,delayed_round_2,-0.21055000000000001,-0.18949500,0.02105500,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_03,core_like_terminal_125,seer,Seer,under_threat,-0.23095000000000002,-0.20785500,0.02309500,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_03,core_like_terminal_125,seer,Seer,selective_useful_info,-0.21755000000000002,-0.19579500,0.02175500,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_03,core_like_terminal_125,witch,Witch,reference,-0.16845000000000002,-0.15160500,0.01684500,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_03,core_like_terminal_125,witch,Witch,aggressive_full,-0.03725000000000001,-0.03352500,0.00372500,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_03,core_like_terminal_125,witch,Witch,save_aggressive_poison_conservative,-0.16180000000000003,-0.14562000,0.01618000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_03,core_like_terminal_125,witch,Witch,save_conservative_poison_aggressive,-0.31185,-0.28066500,0.03118500,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_03,core_like_terminal_125,witch,Witch,conservative_full,-0.49405,-0.44464500,0.04940500,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_03,core_like_terminal_125,witch,Witch,risk_balanced,-0.17890000000000003,-0.16101000,0.01789000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_03,core_like_terminal_125,wolf,Werewolf,reference,0.6969166666666666,0.76660833,0.06969167,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_03,core_like_terminal_125,wolf,Werewolf,aggressive_false_accuse,0.5939,0.65329000,0.05939000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_03,core_like_terminal_125,wolf,Werewolf,aggressive_kill_restrained_deception,0.6062499999999998,0.66687500,0.06062500,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_03,core_like_terminal_125,wolf,Werewolf,threat_adaptive,0.6969166666666666,0.76660833,0.06969167,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_03,core_like_terminal_125,wolf,Werewolf,deep_cover,0.08306666666666662,0.09137333,0.00830667,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_03,core_like_terminal_125,wolf,Werewolf,minimal_deception,0.5951,0.65461000,0.05951000,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_03,core_like_terminal_125,villager,Villager,reference,-0.3384875,-0.30463875,0.03384875,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_03,core_like_terminal_125,villager,Villager,random_vote,-0.47273750000000003,-0.42546375,0.04727375,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_03,core_like_terminal_125,villager,Villager,suspicion_only,-0.3308375,-0.29775375,0.03308375,summary-level sensitivity audit; R4/R5 manifests unchanged
PS_03,core_like_terminal_125,villager,Villager,p_wolf_only,-0.446325,-0.40169250,0.04463250,summary-level sensitivity audit; R4/R5 manifests unchanged
