scenario_id,scenario_name,role,policy,adjusted_mean_actor_payoff,rank,scenario_winner
PS_03,core_like_terminal_125,Werewolf,aggressive_false_accuse,0.65329000,5,False
PS_03,core_like_terminal_125,Werewolf,deep_cover,0.09137333,6,False
PS_03,core_like_terminal_125,Villager,trust_weighted,-0.08455500,1,True
PS_03,core_like_terminal_125,Villager,guarded_herding,-0.21987000,2,False
PS_03,core_like_terminal_125,Villager,suspicion_only,-0.29775375,3,False
PS_03,core_like_terminal_125,Villager,reference,-0.30463875,4,False
PS_03,core_like_terminal_125,Villager,p_wolf_only,-0.40169250,5,False
PS_03,core_like_terminal_125,Villager,random_vote,-0.42546375,6,False
PS_04,action_bonus_075,Hunter,reference,-0.41380000,1,True
PS_04,action_bonus_075,Hunter,highest_suspicion,-0.44380000,2,False
PS_04,action_bonus_075,Hunter,highest_p_wolf,-0.46880000,3,False
PS_04,action_bonus_075,Hunter,conservative_threshold,-0.58130000,4,False
PS_04,action_bonus_075,Hunter,no_shot,-0.58860000,5,False
PS_04,action_bonus_075,Hunter,random_shot,-0.60460000,6,False
PS_04,action_bonus_075,Seer,immediate_reveal,-0.18905000,1,True
PS_04,action_bonus_075,Seer,delayed_round_2,-0.24055000,2,False
PS_04,action_bonus_075,Seer,reveal_first_wolf,-0.24550000,3,False
PS_04,action_bonus_075,Seer,selective_useful_info,-0.24755000,4,False
PS_04,action_bonus_075,Seer,under_threat,-0.26095000,5,False
PS_04,action_bonus_075,Seer,private_only,-0.26530000,6,False
PS_04,action_bonus_075,Witch,aggressive_full,-0.06725000,1,True
PS_04,action_bonus_075,Witch,reference,-0.16845000,2,False
PS_04,action_bonus_075,Witch,save_aggressive_poison_conservative,-0.19180000,3,False
PS_04,action_bonus_075,Witch,risk_balanced,-0.20890000,4,False
PS_04,action_bonus_075,Witch,save_conservative_poison_aggressive,-0.34185000,5,False
PS_04,action_bonus_075,Witch,conservative_full,-0.52405000,6,False
PS_04,action_bonus_075,Werewolf,reference,0.69691667,1,True
PS_04,action_bonus_075,Werewolf,threat_adaptive,0.66691667,2,False
PS_04,action_bonus_075,Werewolf,aggressive_kill_restrained_deception,0.57625000,3,False
PS_04,action_bonus_075,Werewolf,minimal_deception,0.56510000,4,False
PS_04,action_bonus_075,Werewolf,aggressive_false_accuse,0.56390000,5,False
PS_04,action_bonus_075,Werewolf,deep_cover,0.05306667,6,False
PS_04,action_bonus_075,Villager,trust_weighted,-0.12395000,1,True
PS_04,action_bonus_075,Villager,guarded_herding,-0.27430000,2,False
PS_04,action_bonus_075,Villager,reference,-0.33848750,3,False
PS_04,action_bonus_075,Villager,suspicion_only,-0.36083750,4,False
PS_04,action_bonus_075,Villager,p_wolf_only,-0.47632500,5,False
PS_04,action_bonus_075,Villager,random_vote,-0.50273750,6,False
PS_05,action_bonus_125,Hunter,highest_suspicion,-0.41380000,1,True
PS_05,action_bonus_125,Hunter,reference,-0.41380000,2,False
PS_05,action_bonus_125,Hunter,highest_p_wolf,-0.43880000,3,False
PS_05,action_bonus_125,Hunter,conservative_threshold,-0.55130000,4,False
PS_05,action_bonus_125,Hunter,random_shot,-0.57460000,5,False
PS_05,action_bonus_125,Hunter,no_shot,-0.57860000,6,False
PS_05,action_bonus_125,Seer,immediate_reveal,-0.12905000,1,True
PS_05,action_bonus_125,Seer,delayed_round_2,-0.21055000,2,False
PS_05,action_bonus_125,Seer,reveal_first_wolf,-0.21550000,3,False
PS_05,action_bonus_125,Seer,selective_useful_info,-0.21755000,4,False
PS_05,action_bonus_125,Seer,under_threat,-0.23095000,5,False
PS_05,action_bonus_125,Seer,private_only,-0.23530000,6,False
PS_05,action_bonus_125,Witch,aggressive_full,-0.00725000,1,True
PS_05,action_bonus_125,Witch,save_aggressive_poison_conservative,-0.16180000,2,False
PS_05,action_bonus_125,Witch,reference,-0.16845000,3,False
PS_05,action_bonus_125,Witch,risk_balanced,-0.17890000,4,False
PS_05,action_bonus_125,Witch,save_conservative_poison_aggressive,-0.31185000,5,False
PS_05,action_bonus_125,Witch,conservative_full,-0.51405000,6,False
PS_05,action_bonus_125,Werewolf,reference,0.69691667,1,True
PS_05,action_bonus_125,Werewolf,threat_adaptive,0.69691667,2,False
PS_05,action_bonus_125,Werewolf,aggressive_kill_restrained_deception,0.60625000,3,False
PS_05,action_bonus_125,Werewolf,minimal_deception,0.59510000,4,False
PS_05,action_bonus_125,Werewolf,aggressive_false_accuse,0.59390000,5,False
PS_05,action_bonus_125,Werewolf,deep_cover,0.06306667,6,False
PS_05,action_bonus_125,Villager,trust_weighted,-0.06395000,1,True
PS_05,action_bonus_125,Villager,guarded_herding,-0.24430000,2,False
PS_05,action_bonus_125,Villager,suspicion_only,-0.33083750,3,False
PS_05,action_bonus_125,Villager,reference,-0.33848750,4,False
PS_05,action_bonus_125,Villager,p_wolf_only,-0.44632500,5,False
PS_05,action_bonus_125,Villager,random_vote,-0.47273750,6,False
PS_06,credibility_cost_075,Hunter,highest_suspicion,-0.41380000,1,True
PS_06,credibility_cost_075,Hunter,reference,-0.41380000,2,False
PS_06,credibility_cost_075,Hunter,highest_p_wolf,-0.43880000,3,False
PS_06,credibility_cost_075,Hunter,conservative_threshold,-0.55130000,4,False
PS_06,credibility_cost_075,Hunter,no_shot,-0.55860000,5,False
PS_06,credibility_cost_075,Hunter,random_shot,-0.57460000,6,False
PS_06,credibility_cost_075,Seer,immediate_reveal,-0.15905000,1,True
PS_06,credibility_cost_075,Seer,delayed_round_2,-0.21055000,2,False
PS_06,credibility_cost_075,Seer,reveal_first_wolf,-0.21550000,3,False
PS_06,credibility_cost_075,Seer,selective_useful_info,-0.21755000,4,False
PS_06,credibility_cost_075,Seer,under_threat,-0.23095000,5,False
PS_06,credibility_cost_075,Seer,private_only,-0.23530000,6,False
PS_06,credibility_cost_075,Witch,aggressive_full,-0.03725000,1,True
PS_06,credibility_cost_075,Witch,save_aggressive_poison_conservative,-0.16180000,2,False
PS_06,credibility_cost_075,Witch,reference,-0.16845000,3,False
PS_06,credibility_cost_075,Witch,risk_balanced,-0.17890000,4,False
PS_06,credibility_cost_075,Witch,save_conservative_poison_aggressive,-0.31185000,5,False
PS_06,credibility_cost_075,Witch,conservative_full,-0.49405000,6,False
PS_06,credibility_cost_075,Werewolf,threat_adaptive,0.73691667,1,True
PS_06,credibility_cost_075,Werewolf,reference,0.69691667,2,False
PS_06,credibility_cost_075,Werewolf,aggressive_kill_restrained_deception,0.64625000,3,False
PS_06,credibility_cost_075,Werewolf,minimal_deception,0.63510000,4,False
PS_06,credibility_cost_075,Werewolf,aggressive_false_accuse,0.63390000,5,False
PS_06,credibility_cost_075,Werewolf,deep_cover,0.12306667,6,False
PS_06,credibility_cost_075,Villager,trust_weighted,-0.09395000,1,True
PS_06,credibility_cost_075,Villager,guarded_herding,-0.24430000,2,False
PS_06,credibility_cost_075,Villager,suspicion_only,-0.33083750,3,False
PS_06,credibility_cost_075,Villager,reference,-0.33848750,4,False
PS_06,credibility_cost_075,Villager,p_wolf_only,-0.44632500,5,False
PS_06,credibility_cost_075,Villager,random_vote,-0.47273750,6,False
PS_07,credibility_cost_125,Hunter,highest_suspicion,-0.41380000,1,True
PS_07,credibility_cost_125,Hunter,reference,-0.41380000,2,False
PS_07,credibility_cost_125,Hunter,highest_p_wolf,-0.43880000,3,False
PS_07,credibility_cost_125,Hunter,conservative_threshold,-0.55130000,4,False
PS_07,credibility_cost_125,Hunter,no_shot,-0.55860000,5,False
PS_07,credibility_cost_125,Hunter,random_shot,-0.57460000,6,False
PS_07,credibility_cost_125,Seer,immediate_reveal,-0.15905000,1,True
PS_07,credibility_cost_125,Seer,delayed_round_2,-0.21055000,2,False
PS_07,credibility_cost_125,Seer,reveal_first_wolf,-0.21550000,3,False
PS_07,credibility_cost_125,Seer,selective_useful_info,-0.21755000,4,False
PS_07,credibility_cost_125,Seer,under_threat,-0.23095000,5,False
PS_07,credibility_cost_125,Seer,private_only,-0.23530000,6,False
PS_07,credibility_cost_125,Witch,aggressive_full,-0.03725000,1,True
PS_07,credibility_cost_125,Witch,save_aggressive_poison_conservative,-0.16180000,2,False
PS_07,credibility_cost_125,Witch,reference,-0.16845000,3,False
PS_07,credibility_cost_125,Witch,risk_balanced,-0.17890000,4,False
PS_07,credibility_cost_125,Witch,save_conservative_poison_aggressive,-0.31185000,5,False
PS_07,credibility_cost_125,Witch,conservative_full,-0.49405000,6,False
PS_07,credibility_cost_125,Werewolf,reference,0.69691667,1,True
PS_07,credibility_cost_125,Werewolf,threat_adaptive,0.63691667,2,False
PS_07,credibility_cost_125,Werewolf,aggressive_kill_restrained_deception,0.54625000,3,False
PS_07,credibility_cost_125,Werewolf,minimal_deception,0.53510000,4,False
PS_07,credibility_cost_125,Werewolf,aggressive_false_accuse,0.53390000,5,False
PS_07,credibility_cost_125,Werewolf,deep_cover,0.02306667,6,False
PS_07,credibility_cost_125,Villager,trust_weighted,-0.09395000,1,True
PS_07,credibility_cost_125,Villager,guarded_herding,-0.24430000,2,False
PS_07,credibility_cost_125,Villager,suspicion_only,-0.33083750,3,False
PS_07,credibility_cost_125,Villager,reference,-0.33848750,4,False
PS_07,credibility_cost_125,Villager,p_wolf_only,-0.44632500,5,False
PS_07,credibility_cost_125,Villager,random_vote,-0.47273750,6,False
PS_08,witch_wrong_poison_harsher,Hunter,highest_suspicion,-0.41380000,1,True
PS_08,witch_wrong_poison_harsher,Hunter,reference,-0.41380000,2,False
PS_08,witch_wrong_poison_harsher,Hunter,highest_p_wolf,-0.43880000,3,False
PS_08,witch_wrong_poison_harsher,Hunter,conservative_threshold,-0.55130000,4,False
PS_08,witch_wrong_poison_harsher,Hunter,no_shot,-0.55860000,5,False
PS_08,witch_wrong_poison_harsher,Hunter,random_shot,-0.57460000,6,False
PS_08,witch_wrong_poison_harsher,Seer,immediate_reveal,-0.15905000,1,True
PS_08,witch_wrong_poison_harsher,Seer,delayed_round_2,-0.21055000,2,False
PS_08,witch_wrong_poison_harsher,Seer,reveal_first_wolf,-0.21550000,3,False
PS_08,witch_wrong_poison_harsher,Seer,selective_useful_info,-0.21755000,4,False
PS_08,witch_wrong_poison_harsher,Seer,under_threat,-0.23095000,5,False
PS_08,witch_wrong_poison_harsher,Seer,private_only,-0.23530000,6,False
PS_08,witch_wrong_poison_harsher,Witch,aggressive_full,-0.15725000,1,True
PS_08,witch_wrong_poison_harsher,Witch,reference,-0.16845000,2,False
PS_08,witch_wrong_poison_harsher,Witch,risk_balanced,-0.17890000,3,False
PS_08,witch_wrong_poison_harsher,Witch,save_aggressive_poison_conservative,-0.28180000,4,False
PS_08,witch_wrong_poison_harsher,Witch,save_conservative_poison_aggressive,-0.43185000,5,False
PS_08,witch_wrong_poison_harsher,Witch,conservative_full,-0.49405000,6,False
PS_08,witch_wrong_poison_harsher,Werewolf,reference,0.69691667,1,True
PS_08,witch_wrong_poison_harsher,Werewolf,threat_adaptive,0.69691667,2,False
PS_08,witch_wrong_poison_harsher,Werewolf,aggressive_kill_restrained_deception,0.60625000,3,False
PS_08,witch_wrong_poison_harsher,Werewolf,minimal_deception,0.59510000,4,False
PS_08,witch_wrong_poison_harsher,Werewolf,aggressive_false_accuse,0.59390000,5,False
PS_08,witch_wrong_poison_harsher,Werewolf,deep_cover,0.08306667,6,False
PS_08,witch_wrong_poison_harsher,Villager,trust_weighted,-0.09395000,1,True
PS_08,witch_wrong_poison_harsher,Villager,guarded_herding,-0.24430000,2,False
PS_08,witch_wrong_poison_harsher,Villager,suspicion_only,-0.33083750,3,False
PS_08,witch_wrong_poison_harsher,Villager,reference,-0.33848750,4,False
PS_08,witch_wrong_poison_harsher,Villager,p_wolf_only,-0.44632500,5,False
PS_08,witch_wrong_poison_harsher,Villager,random_vote,-0.47273750,6,False
PS_09,witch_wrong_poison_lighter,Hunter,highest_suspicion,-0.41380000,1,True
PS_09,witch_wrong_poison_lighter,Hunter,reference,-0.41380000,2,False
PS_09,witch_wrong_poison_lighter,Hunter,highest_p_wolf,-0.43880000,3,False
PS_09,witch_wrong_poison_lighter,Hunter,conservative_threshold,-0.55130000,4,False
PS_09,witch_wrong_poison_lighter,Hunter,no_shot,-0.55860000,5,False
PS_09,witch_wrong_poison_lighter,Hunter,random_shot,-0.57460000,6,False
PS_09,witch_wrong_poison_lighter,Seer,immediate_reveal,-0.15905000,1,True
PS_09,witch_wrong_poison_lighter,Seer,delayed_round_2,-0.21055000,2,False
PS_09,witch_wrong_poison_lighter,Seer,reveal_first_wolf,-0.21550000,3,False
PS_09,witch_wrong_poison_lighter,Seer,selective_useful_info,-0.21755000,4,False
PS_09,witch_wrong_poison_lighter,Seer,under_threat,-0.23095000,5,False
PS_09,witch_wrong_poison_lighter,Seer,private_only,-0.23530000,6,False
PS_09,witch_wrong_poison_lighter,Witch,aggressive_full,0.02275000,1,True
PS_09,witch_wrong_poison_lighter,Witch,save_aggressive_poison_conservative,-0.10180000,2,False
PS_09,witch_wrong_poison_lighter,Witch,reference,-0.16845000,3,False
PS_09,witch_wrong_poison_lighter,Witch,risk_balanced,-0.17890000,4,False
PS_09,witch_wrong_poison_lighter,Witch,save_conservative_poison_aggressive,-0.25185000,5,False
PS_09,witch_wrong_poison_lighter,Witch,conservative_full,-0.49405000,6,False
PS_09,witch_wrong_poison_lighter,Werewolf,reference,0.69691667,1,True
PS_09,witch_wrong_poison_lighter,Werewolf,threat_adaptive,0.69691667,2,False
PS_09,witch_wrong_poison_lighter,Werewolf,aggressive_kill_restrained_deception,0.60625000,3,False
PS_09,witch_wrong_poison_lighter,Werewolf,minimal_deception,0.59510000,4,False
PS_09,witch_wrong_poison_lighter,Werewolf,aggressive_false_accuse,0.59390000,5,False
PS_09,witch_wrong_poison_lighter,Werewolf,deep_cover,0.08306667,6,False
PS_09,witch_wrong_poison_lighter,Villager,trust_weighted,-0.09395000,1,True
PS_09,witch_wrong_poison_lighter,Villager,guarded_herding,-0.24430000,2,False
PS_09,witch_wrong_poison_lighter,Villager,suspicion_only,-0.33083750,3,False
PS_09,witch_wrong_poison_lighter,Villager,reference,-0.33848750,4,False
PS_09,witch_wrong_poison_lighter,Villager,p_wolf_only,-0.44632500,5,False
PS_09,witch_wrong_poison_lighter,Villager,random_vote,-0.47273750,6,False
PS_10,seer_exposure_penalty,Hunter,highest_suspicion,-0.41380000,1,True
PS_10,seer_exposure_penalty,Hunter,reference,-0.41380000,2,False
PS_10,seer_exposure_penalty,Hunter,highest_p_wolf,-0.43880000,3,False
PS_10,seer_exposure_penalty,Hunter,conservative_threshold,-0.55130000,4,False
PS_10,seer_exposure_penalty,Hunter,no_shot,-0.55860000,5,False
PS_10,seer_exposure_penalty,Hunter,random_shot,-0.57460000,6,False
PS_10,seer_exposure_penalty,Seer,delayed_round_2,-0.21055000,1,True
PS_10,seer_exposure_penalty,Seer,selective_useful_info,-0.21755000,2,False
PS_10,seer_exposure_penalty,Seer,under_threat,-0.23095000,3,False
PS_10,seer_exposure_penalty,Seer,private_only,-0.23530000,4,False
PS_10,seer_exposure_penalty,Seer,immediate_reveal,-0.23905000,5,False
PS_10,seer_exposure_penalty,Seer,reveal_first_wolf,-0.29550000,6,False
PS_10,seer_exposure_penalty,Witch,aggressive_full,-0.03725000,1,True
PS_10,seer_exposure_penalty,Witch,save_aggressive_poison_conservative,-0.16180000,2,False
PS_10,seer_exposure_penalty,Witch,reference,-0.16845000,3,False
PS_10,seer_exposure_penalty,Witch,risk_balanced,-0.17890000,4,False
PS_10,seer_exposure_penalty,Witch,save_conservative_poison_aggressive,-0.31185000,5,False
PS_10,seer_exposure_penalty,Witch,conservative_full,-0.49405000,6,False
PS_10,seer_exposure_penalty,Werewolf,reference,0.69691667,1,True
PS_10,seer_exposure_penalty,Werewolf,threat_adaptive,0.69691667,2,False
PS_10,seer_exposure_penalty,Werewolf,aggressive_kill_restrained_deception,0.60625000,3,False
PS_10,seer_exposure_penalty,Werewolf,minimal_deception,0.59510000,4,False
PS_10,seer_exposure_penalty,Werewolf,aggressive_false_accuse,0.59390000,5,False
PS_10,seer_exposure_penalty,Werewolf,deep_cover,0.08306667,6,False
PS_10,seer_exposure_penalty,Villager,trust_weighted,-0.09395000,1,True
PS_10,seer_exposure_penalty,Villager,guarded_herding,-0.24430000,2,False
PS_10,seer_exposure_penalty,Villager,suspicion_only,-0.33083750,3,False
PS_10,seer_exposure_penalty,Villager,reference,-0.33848750,4,False
PS_10,seer_exposure_penalty,Villager,p_wolf_only,-0.44632500,5,False
PS_10,seer_exposure_penalty,Villager,random_vote,-0.47273750,6,False
PS_11,wolf_deception_penalty,Hunter,highest_suspicion,-0.41380000,1,True
PS_11,wolf_deception_penalty,Hunter,reference,-0.41380000,2,False
PS_11,wolf_deception_penalty,Hunter,highest_p_wolf,-0.43880000,3,False
PS_11,wolf_deception_penalty,Hunter,conservative_threshold,-0.55130000,4,False
PS_11,wolf_deception_penalty,Hunter,no_shot,-0.55860000,5,False
PS_11,wolf_deception_penalty,Hunter,random_shot,-0.57460000,6,False
PS_11,wolf_deception_penalty,Seer,immediate_reveal,-0.15905000,1,True
PS_11,wolf_deception_penalty,Seer,delayed_round_2,-0.21055000,2,False
PS_11,wolf_deception_penalty,Seer,reveal_first_wolf,-0.21550000,3,False
PS_11,wolf_deception_penalty,Seer,selective_useful_info,-0.21755000,4,False
PS_11,wolf_deception_penalty,Seer,under_threat,-0.23095000,5,False
PS_11,wolf_deception_penalty,Seer,private_only,-0.23530000,6,False
PS_11,wolf_deception_penalty,Witch,aggressive_full,-0.03725000,1,True
PS_11,wolf_deception_penalty,Witch,save_aggressive_poison_conservative,-0.16180000,2,False
PS_11,wolf_deception_penalty,Witch,reference,-0.16845000,3,False
PS_11,wolf_deception_penalty,Witch,risk_balanced,-0.17890000,4,False
PS_11,wolf_deception_penalty,Witch,save_conservative_poison_aggressive,-0.31185000,5,False
PS_11,wolf_deception_penalty,Witch,conservative_full,-0.49405000,6,False
PS_11,wolf_deception_penalty,Werewolf,reference,0.69691667,1,True
PS_11,wolf_deception_penalty,Werewolf,threat_adaptive,0.69691667,2,False
PS_11,wolf_deception_penalty,Werewolf,aggressive_kill_restrained_deception,0.50625000,3,False
PS_11,wolf_deception_penalty,Werewolf,minimal_deception,0.49510000,4,False
PS_11,wolf_deception_penalty,Werewolf,aggressive_false_accuse,0.49390000,5,False
PS_11,wolf_deception_penalty,Werewolf,deep_cover,-0.01693333,6,False
PS_11,wolf_deception_penalty,Villager,trust_weighted,-0.09395000,1,True
PS_11,wolf_deception_penalty,Villager,guarded_herding,-0.24430000,2,False
PS_11,wolf_deception_penalty,Villager,suspicion_only,-0.33083750,3,False
PS_11,wolf_deception_penalty,Villager,reference,-0.33848750,4,False
PS_11,wolf_deception_penalty,Villager,p_wolf_only,-0.44632500,5,False
PS_11,wolf_deception_penalty,Villager,random_vote,-0.47273750,6,False
PS_12,villager_false_positive_penalty,Hunter,highest_suspicion,-0.41380000,1,True
PS_12,villager_false_positive_penalty,Hunter,reference,-0.41380000,2,False
PS_12,villager_false_positive_penalty,Hunter,highest_p_wolf,-0.43880000,3,False
PS_12,villager_false_positive_penalty,Hunter,conservative_threshold,-0.55130000,4,False
PS_12,villager_false_positive_penalty,Hunter,no_shot,-0.55860000,5,False
PS_12,villager_false_positive_penalty,Hunter,random_shot,-0.57460000,6,False
