module,policy,group_key,group_value,game_count,village_win_rate,wolf_win_rate,mean_actor_payoff
villager,reference,leave_one_behavioral_regime,baseline,900,0.29,0.71,-0.3388611111111111
villager,trust_weighted,leave_one_behavioral_regime,baseline,900,0.3611111111111111,0.6388888888888888,-0.18051388888888892
villager,reference,leave_one_behavioral_regime,deception_enabled,900,0.30444444444444446,0.6955555555555556,-0.3060833333333334
villager,trust_weighted,leave_one_behavioral_regime,deception_enabled,900,0.37777777777777777,0.6222222222222222,-0.14423611111111115
villager,reference,leave_one_behavioral_regime,herding_enabled,900,0.29444444444444445,0.7055555555555556,-0.32902777777777775
villager,trust_weighted,leave_one_behavioral_regime,herding_enabled,900,0.37222222222222223,0.6277777777777778,-0.15704166666666672
villager,reference,leave_one_behavioral_regime,heterogeneous_risk,900,0.2911111111111111,0.7088888888888889,-0.33598611111111115
villager,trust_weighted,leave_one_behavioral_regime,heterogeneous_risk,900,0.35555555555555557,0.6444444444444445,-0.19309722222222225
villager,reference,leave_one_behavioral_regime,high_emotional_speech,900,0.2877777777777778,0.7122222222222222,-0.34184722222222225
villager,trust_weighted,leave_one_behavioral_regime,high_emotional_speech,900,0.35,0.65,-0.20344444444444448
villager,reference,leave_one_behavioral_regime,low_information_speech,900,0.2822222222222222,0.7177777777777777,-0.35297222222222224
villager,trust_weighted,leave_one_behavioral_regime,low_information_speech,900,0.32,0.68,-0.2687083333333334
villager,reference,leave_one_behavioral_regime,mixed_strategies,900,0.28444444444444444,0.7155555555555555,-0.3503611111111112
villager,trust_weighted,leave_one_behavioral_regime,mixed_strategies,900,0.3522222222222222,0.6477777777777778,-0.20023611111111114
villager,reference,leave_one_behavioral_regime,speech_enabled,900,0.28,0.72,-0.3605694444444445
villager,trust_weighted,leave_one_behavioral_regime,speech_enabled,900,0.37333333333333335,0.6266666666666667,-0.15411111111111114
villager,reference,leave_one_behavioral_regime,strong_village_information,900,0.2788888888888889,0.7211111111111111,-0.36159722222222224
villager,trust_weighted,leave_one_behavioral_regime,strong_village_information,900,0.3477777777777778,0.6522222222222223,-0.20825000000000002
villager,reference,leave_one_behavioral_regime,weak_village_information,900,0.2966666666666667,0.7033333333333334,-0.32506944444444447
villager,trust_weighted,leave_one_behavioral_regime,weak_village_information,900,0.37,0.63,-0.1637361111111111
seer,private_only,leave_one_behavioral_regime,baseline,900,0.2866666666666667,0.7133333333333334,-0.26272222222222225
seer,immediate_reveal,leave_one_behavioral_regime,baseline,900,0.3211111111111111,0.6788888888888889,-0.19016666666666668
seer,private_only,leave_one_behavioral_regime,deception_enabled,900,0.3022222222222222,0.6977777777777778,-0.23433333333333334
seer,immediate_reveal,leave_one_behavioral_regime,deception_enabled,900,0.34,0.66,-0.15555555555555556
seer,private_only,leave_one_behavioral_regime,herding_enabled,900,0.2922222222222222,0.7077777777777777,-0.25377777777777777
seer,immediate_reveal,leave_one_behavioral_regime,herding_enabled,900,0.3277777777777778,0.6722222222222223,-0.17894444444444446
