module,reference_policy,candidate_policy,metric,outcome_role,multiple_testing_family,matched_set_count,mean_difference,ci_low,ci_high,difference_stdev,effect_size_dz,raw_p_value,holm_adjusted_p_value,replication_label
villager,reference,trust_weighted,actor_payoff,primary,r82_primary_actor_payoff,1000,0.1529,0.09143909817129595,0.21436090182870407,0.9916144736056772,0.15419298938228468,0.001998001998001998,0.005994005994005994,replicated positive effect
seer,private_only,immediate_reveal,actor_payoff,primary,r82_primary_actor_payoff,1000,0.06735,0.023738058362216687,0.1109619416377833,0.7036381059067822,0.09571681725964185,0.6233766233766234,0.6233766233766234,positive but not statistically replicated
witch,reference,aggressive_full,actor_payoff,primary,r82_primary_actor_payoff,1000,0.1651,0.09805174895082831,0.2321482510491717,1.0817611553375344,0.15262149059926727,0.002997002997002997,0.005994005994005994,replicated positive effect
villager,reference,trust_weighted,village_win,secondary,r82_secondary_village_win,1000,0.069,0.03989816054852444,0.09810183945147558,0.46953110595514275,0.14695511995874455,0.2867132867132867,0.8601398601398602,positive but not statistically replicated
seer,private_only,immediate_reveal,village_win,secondary,r82_secondary_village_win,1000,0.032,0.010253793454970149,0.05374620654502985,0.35085481199364943,0.09120581763769342,0.7882117882117882,0.8601398601398602,positive but not statistically replicated
witch,reference,aggressive_full,village_win,secondary,r82_secondary_village_win,1000,0.071,0.04037107534657108,0.1016289246534289,0.49416920503325906,0.1436754845847213,0.2907092907092907,0.8601398601398602,positive but not statistically replicated
