module,policy,game_count,matched_set_count,seed_count,behavioral_regime_count,village_win_rate,wolf_win_rate,draw_rate,mean_actor_payoff,actor_payoff_ci_low,actor_payoff_ci_high,mean_team_payoff,mean_wolf_payoff,mean_village_payoff,stdev_payoff,downside_deviation,negative_payoff_probability,var_like_90,var_like_95,cvar_like_90,cvar_like_95,sharpe_like_ratio,sortino_like_ratio,total_actions,village_win_ci_low,village_win_ci_high,frontier_stdev,frontier_downside,frontier_cvar95
villager,reference,1000,1000,20,10,0.289,0.711,0.0,-0.3402375,-0.39981008200873064,-0.2806649179912694,-0.3228857142857143,0.7082999999999999,-0.3228857142857143,0.9611481900242734,0.8034263539678046,0.711,-0.9875,-1.0125000000000002,-1.0035885167464116,-1.0363636363636364,-0.3539906785772623,-0.42348312115939657,20780,0.2608902457377393,0.3171097542622607,True,False,True
villager,trust_weighted,1000,1000,20,10,0.358,0.642,0.0,-0.18733750000000005,-0.25050170064047594,-0.12417329935952412,-0.17450000000000002,0.5708499999999999,-0.17450000000000002,1.0190956153457666,0.7596188394517345,0.642,-0.9875,-1.0125000000000002,-1.0071428571428571,-1.0347727272727274,-0.18382720637693917,-0.2466203973234965,21108,0.328270859423801,0.38772914057619895,True,True,True
seer,private_only,1000,1000,20,10,0.286,0.714,0.0,-0.26525,-0.32413903631830376,-0.20636096368169624,-0.3301857142857143,0.71705,-0.3301857142857143,0.9501198162153893,0.7344130309301437,0.714,-0.9500000000000001,-0.9500000000000001,-0.9621468926553673,-0.9621468926553673,-0.2791753160738925,-0.36117278537944436,1634,0.2579775921494647,0.31402240785053526,True,False,False
seer,immediate_reveal,1000,1000,20,10,0.318,0.682,0.0,-0.1979,-0.2585350841673035,-0.1372649158326965,-0.26242857142857146,0.6520166666666667,-0.26242857142857146,0.9782906739014957,0.7170826312218139,0.682,-0.9500000000000001,-0.9500000000000001,-0.9638728323699421,-0.9638728323699421,-0.20229161462897333,-0.2759793521463553,3314,0.2891212045537487,0.34687879544625133,True,True,True
witch,reference,1000,1000,20,10,0.286,0.714,0.0,-0.21015000000000003,-0.2703667814943438,-0.1499332185056563,-0.3301857142857143,0.71705,-0.3301857142857143,0.9715417494224686,0.70299715504403,0.714,-1.05,-1.05,-1.0721153846153846,-1.0721153846153846,-0.21630568127918676,-0.2989343534211571,2020,0.2579775921494647,0.31402240785053526,True,False,False
witch,aggressive_full,1000,1000,20,10,0.357,0.643,0.0,-0.04505000000000002,-0.11210788594388632,0.02200788594388628,-0.17670000000000005,0.5448333333333333,-0.17670000000000005,1.0819166054003613,0.6921181257560013,0.643,-1.1,-1.1,-1.118529411764706,-1.118529411764706,-0.04163906882945877,-0.06509004507112404,2788,0.32728929742588625,0.3867107025741137,True,True,True
