module,policy,group_key,group_value,game_count,village_win_rate,wolf_win_rate,mean_actor_payoff
villager,reference,leave_one_seed,820,950,0.28421052631578947,0.7157894736842105,-0.35059210526315787
villager,trust_weighted,leave_one_seed,820,950,0.35578947368421054,0.6442105263157895,-0.19169736842105264
villager,reference,leave_one_seed,821,950,0.2894736842105263,0.7105263157894737,-0.33881578947368424
villager,trust_weighted,leave_one_seed,821,950,0.35368421052631577,0.6463157894736842,-0.19651315789473686
villager,reference,leave_one_seed,822,950,0.2873684210526316,0.7126315789473684,-0.34363157894736845
villager,trust_weighted,leave_one_seed,822,950,0.3631578947368421,0.6368421052631579,-0.17626315789473687
villager,reference,leave_one_seed,823,950,0.29473684210526313,0.7052631578947368,-0.32835526315789476
villager,trust_weighted,leave_one_seed,823,950,0.3631578947368421,0.6368421052631579,-0.17686842105263162
villager,reference,leave_one_seed,824,950,0.2894736842105263,0.7105263157894737,-0.3389473684210526
villager,trust_weighted,leave_one_seed,824,950,0.36,0.64,-0.18260526315789477
villager,reference,leave_one_seed,825,950,0.2894736842105263,0.7105263157894737,-0.339171052631579
villager,trust_weighted,leave_one_seed,825,950,0.35578947368421054,0.6442105263157895,-0.1924868421052632
villager,reference,leave_one_seed,826,950,0.29473684210526313,0.7052631578947368,-0.32850000000000007
villager,trust_weighted,leave_one_seed,826,950,0.3642105263157895,0.6357894736842106,-0.1748026315789474
villager,reference,leave_one_seed,827,950,0.28842105263157897,0.7115789473684211,-0.3416842105263158
villager,trust_weighted,leave_one_seed,827,950,0.35578947368421054,0.6442105263157895,-0.1921184210526316
villager,reference,leave_one_seed,828,950,0.2873684210526316,0.7126315789473684,-0.34392105263157896
villager,trust_weighted,leave_one_seed,828,950,0.3589473684210526,0.6410526315789473,-0.18500000000000003
villager,reference,leave_one_seed,829,950,0.2905263157894737,0.7094736842105264,-0.33669736842105263
villager,trust_weighted,leave_one_seed,829,950,0.35789473684210527,0.6421052631578947,-0.18688157894736845
villager,reference,leave_one_seed,830,950,0.2873684210526316,0.7126315789473684,-0.3434736842105263
villager,trust_weighted,leave_one_seed,830,950,0.36,0.64,-0.18332894736842106
villager,reference,leave_one_seed,831,950,0.28421052631578947,0.7157894736842105,-0.3500789473684211
villager,trust_weighted,leave_one_seed,831,950,0.35157894736842105,0.6484210526315789,-0.20015789473684215
villager,reference,leave_one_seed,832,950,0.2863157894736842,0.7136842105263158,-0.3456052631578948
villager,trust_weighted,leave_one_seed,832,950,0.35789473684210527,0.6421052631578947,-0.1873684210526316
villager,reference,leave_one_seed,833,950,0.29157894736842105,0.708421052631579,-0.3347763157894737
villager,trust_weighted,leave_one_seed,833,950,0.36210526315789476,0.6378947368421053,-0.17915789473684213
