task,context,model,feature,importance,signed_weight
action_value,seer_check,ridge_regression_stdlib,candidate_distance_from_actor,0.0054766299281936315,-0.0054766299281936315
action_value,seer_check,ridge_regression_stdlib,candidate_seat_is_edge,0.004551415978484856,0.004551415978484856
action_value,seer_check,ridge_regression_stdlib,candidate_vote_received_count,0.004366885570899102,-0.004366885570899102
action_value,seer_check,ridge_regression_stdlib,candidate_public_influence_proxy,0.004003641385992652,-0.004003641385992652
action_value,seer_check,ridge_regression_stdlib,dead_count,0.003884114132395587,-0.003884114132395587
action_value,seer_check,ridge_regression_stdlib,public_revealed_role_count,0.003884114132395587,-0.003884114132395587
action_value,seer_check,ridge_regression_stdlib,number_of_previous_eliminations,0.003884114132395587,-0.003884114132395587
action_value,seer_check,ridge_regression_stdlib,candidate_support_from_actor,0.0037928370568696833,-0.0037928370568696833
action_value,seer_check,ridge_regression_stdlib,candidate_conflict_with_actor,0.003696746204507699,0.003696746204507699
action_value,seer_check,ridge_regression_stdlib,candidate_was_previously_targeted_by_actor,0.003696746204507699,0.003696746204507699
action_value,seer_check,ridge_regression_stdlib,candidate_search_coverage_bonus,0.0036654255375992485,0.0036654255375992485
action_value,seer_check,ridge_regression_stdlib,candidate_defense_count,0.002585608223574236,-0.002585608223574236
action_value,seer_check,ridge_regression_stdlib,round_number,0.002386573853685204,-0.002386573853685204
action_value,seer_check,ridge_regression_stdlib,candidate_side_is_left,0.002171698275817972,-0.002171698275817972
action_value,seer_check,ridge_regression_stdlib,actor_previous_votes_made,0.0018201986005431027,-0.0018201986005431027
action_value,seer_check,ridge_regression_stdlib,actor_previous_speeches_made,0.0018201986005431027,-0.0018201986005431027
action_value,seer_check,ridge_regression_stdlib,candidate_vote_made_count,0.0018201986005431027,-0.0018201986005431027
action_value,seer_check,ridge_regression_stdlib,candidate_speech_count,0.0018201986005431027,-0.0018201986005431027
action_value,seer_check,ridge_regression_stdlib,alive_count,0.0017796383990254497,-0.0017796383990254497
action_value,seer_check,ridge_regression_stdlib,candidate_role_claim_count,0.0015884920329610269,-0.0015884920329610269
action_value,seer_check,ridge_regression_stdlib,candidate_special_role_claim_count,0.0015884920329610269,-0.0015884920329610269
action_value,seer_check,ridge_regression_stdlib,candidate_trust_from_actor,0.0010967275622933582,-0.0010967275622933582
action_value,seer_check,ridge_regression_stdlib,candidate_uncertainty_proxy,0.0009128196191182918,-0.0009128196191182918
action_value,seer_check,ridge_regression_stdlib,candidate_wrong_accusation_count,0.0007994097481203193,0.0007994097481203193
action_value,seer_check,ridge_regression_stdlib,candidate_p_wolf,0.0007735012945044035,-0.0007735012945044035
action_value,seer_check,ridge_regression_stdlib,candidate_survival_proxy,0.0006142232633783841,-0.0006142232633783841
action_value,seer_check,ridge_regression_stdlib,phase_is_night,0.0005663752531421041,-0.0005663752531421041
action_value,seer_check,ridge_regression_stdlib,decision_type_is_seer_check,0.0005663752531421041,-0.0005663752531421041
action_value,seer_check,ridge_regression_stdlib,actor_team_is_village,0.0005663752531421041,-0.0005663752531421041
action_value,seer_check,ridge_regression_stdlib,candidate_alive,0.0005663752531421041,-0.0005663752531421041
action_value,seer_check,ridge_regression_stdlib,public_information_entropy_proxy,0.00023124986175978036,-0.00023124986175978036
action_value,seer_check,ridge_regression_stdlib,candidate_suspicion_score,0.0001678571708346865,-0.0001678571708346865
action_value,seer_check,ridge_regression_stdlib,actor_p_wolf,6.32787476567299e-05,6.32787476567299e-05
action_value,seer_check,ridge_regression_stdlib,actor_suspicion_score,4.301186694916016e-05,4.301186694916016e-05
action_value,seer_check,ridge_regression_stdlib,phase_is_day,0.0,0.0
action_value,seer_check,ridge_regression_stdlib,decision_type_is_wolf_kill,0.0,0.0
action_value,seer_check,ridge_regression_stdlib,decision_type_is_day_vote,0.0,0.0
action_value,seer_check,ridge_regression_stdlib,actor_team_is_wolf,0.0,0.0
action_value,seer_check,ridge_regression_stdlib,number_of_public_check_results,0.0,0.0
action_value,seer_check,ridge_regression_stdlib,actor_risk_conservative,0.0,0.0
action_value,seer_check,ridge_regression_stdlib,actor_risk_aggressive,0.0,0.0
action_value,seer_check,ridge_regression_stdlib,actor_known_teammate_count,0.0,0.0
action_value,seer_check,ridge_regression_stdlib,candidate_checked_by_actor_status,0.0,0.0
action_value,seer_check,ridge_regression_stdlib,candidate_public_role_known,0.0,0.0
action_value,seer_check,ridge_regression_stdlib,candidate_vote_switch_count,0.0,0.0
action_value,seer_check,ridge_regression_stdlib,candidate_known_wolf_to_actor,0.0,0.0
action_value,seer_check,ridge_regression_stdlib,candidate_known_village_to_actor,0.0,0.0
action_value,seer_check,ridge_regression_stdlib,candidate_current_vote_count,0.0,0.0
action_value,seer_check,ridge_regression_stdlib,current_vote_total,0.0,0.0
action_value,wolf_kill,ridge_regression_stdlib,candidate_was_previously_targeted_by_actor,0.006419755576912864,0.006419755576912864
action_value,wolf_kill,ridge_regression_stdlib,candidate_conflict_with_actor,0.006317209990363989,0.006317209990363989
action_value,wolf_kill,ridge_regression_stdlib,candidate_seat_is_edge,0.004597479900489748,0.004597479900489748
action_value,wolf_kill,ridge_regression_stdlib,actor_known_teammate_count,0.004334379636530245,-0.004334379636530245
action_value,wolf_kill,ridge_regression_stdlib,candidate_wrong_accusation_count,0.004225184478362196,-0.004225184478362196
action_value,wolf_kill,ridge_regression_stdlib,candidate_defense_count,0.004100688134905633,0.004100688134905633
action_value,wolf_kill,ridge_regression_stdlib,candidate_public_influence_proxy,0.0033666832226482038,-0.0033666832226482038
action_value,wolf_kill,ridge_regression_stdlib,alive_count,0.0030476185079562645,0.0030476185079562645
action_value,wolf_kill,ridge_regression_stdlib,candidate_side_is_left,0.0026029819597434296,0.0026029819597434296
action_value,wolf_kill,ridge_regression_stdlib,candidate_made_accusations,0.0024360137287074536,-0.0024360137287074536
action_value,wolf_kill,ridge_regression_stdlib,actor_previous_votes_made,0.002414745055750328,-0.002414745055750328
action_value,wolf_kill,ridge_regression_stdlib,actor_previous_speeches_made,0.002414745055750328,-0.002414745055750328
action_value,wolf_kill,ridge_regression_stdlib,candidate_vote_made_count,0.002414745055750328,-0.002414745055750328
action_value,wolf_kill,ridge_regression_stdlib,candidate_speech_count,0.002414745055750328,-0.002414745055750328
action_value,wolf_kill,ridge_regression_stdlib,candidate_support_from_actor,0.002395182688071136,0.002395182688071136
action_value,wolf_kill,ridge_regression_stdlib,round_number,0.002213310299336043,-0.002213310299336043
action_value,wolf_kill,ridge_regression_stdlib,candidate_vote_received_count,0.0019038763337957555,-0.0019038763337957555
action_value,wolf_kill,ridge_regression_stdlib,candidate_uncertainty_proxy,0.0016978606127302737,-0.0016978606127302737
action_value,wolf_kill,ridge_regression_stdlib,candidate_p_wolf,0.00142475249109666,-0.00142475249109666
action_value,wolf_kill,ridge_regression_stdlib,actor_p_wolf,0.0011284987736532412,-0.0011284987736532412
action_value,wolf_kill,ridge_regression_stdlib,actor_suspicion_score,0.0010570488511424919,-0.0010570488511424919
action_value,wolf_kill,ridge_regression_stdlib,dead_count,0.001033270943813391,-0.001033270943813391
action_value,wolf_kill,ridge_regression_stdlib,public_revealed_role_count,0.001033270943813391,-0.001033270943813391
action_value,wolf_kill,ridge_regression_stdlib,number_of_previous_eliminations,0.001033270943813391,-0.001033270943813391
action_value,wolf_kill,ridge_regression_stdlib,candidate_trust_from_actor,0.0008963055428367554,0.0008963055428367554
action_value,wolf_kill,ridge_regression_stdlib,candidate_vote_switch_count,0.0008645167826639824,0.0008645167826639824
action_value,wolf_kill,ridge_regression_stdlib,candidate_survival_proxy,0.000675911712174298,0.000675911712174298
action_value,wolf_kill,ridge_regression_stdlib,candidate_role_claim_count,0.0005467755045687941,0.0005467755045687941
action_value,wolf_kill,ridge_regression_stdlib,candidate_special_role_claim_count,0.0005467755045687941,0.0005467755045687941
action_value,wolf_kill,ridge_regression_stdlib,candidate_distance_from_actor,0.00037399173588879104,-0.00037399173588879104
action_value,wolf_kill,ridge_regression_stdlib,candidate_physical_seat_numeric,0.0003129865942142012,-0.0003129865942142012
action_value,wolf_kill,ridge_regression_stdlib,public_information_entropy_proxy,0.00031119491191555006,-0.00031119491191555006
action_value,wolf_kill,ridge_regression_stdlib,candidate_received_accusations,0.00023140286594382914,-0.00023140286594382914
action_value,wolf_kill,ridge_regression_stdlib,phase_is_night,0.00020143475641428652,0.00020143475641428652
action_value,wolf_kill,ridge_regression_stdlib,decision_type_is_wolf_kill,0.00020143475641428652,0.00020143475641428652
action_value,wolf_kill,ridge_regression_stdlib,actor_team_is_wolf,0.00020143475641428652,0.00020143475641428652
action_value,wolf_kill,ridge_regression_stdlib,candidate_alive,0.00020143475641428652,0.00020143475641428652
action_value,wolf_kill,ridge_regression_stdlib,candidate_suspicion_score,7.028581911480761e-05,-7.028581911480761e-05
action_value,wolf_kill,ridge_regression_stdlib,phase_is_day,0.0,0.0
action_value,wolf_kill,ridge_regression_stdlib,decision_type_is_seer_check,0.0,0.0
action_value,wolf_kill,ridge_regression_stdlib,decision_type_is_day_vote,0.0,0.0
action_value,wolf_kill,ridge_regression_stdlib,actor_team_is_village,0.0,0.0
action_value,wolf_kill,ridge_regression_stdlib,number_of_public_check_results,0.0,0.0
action_value,wolf_kill,ridge_regression_stdlib,actor_risk_conservative,0.0,0.0
action_value,wolf_kill,ridge_regression_stdlib,actor_risk_aggressive,0.0,0.0
action_value,wolf_kill,ridge_regression_stdlib,candidate_checked_by_actor_status,0.0,0.0
action_value,wolf_kill,ridge_regression_stdlib,candidate_public_role_known,0.0,0.0
action_value,wolf_kill,ridge_regression_stdlib,candidate_search_coverage_bonus,0.0,0.0
action_value,wolf_kill,ridge_regression_stdlib,candidate_known_wolf_to_actor,0.0,0.0
action_value,wolf_kill,ridge_regression_stdlib,candidate_known_village_to_actor,0.0,0.0
action_value,wolf_kill,ridge_regression_stdlib,candidate_current_vote_count,0.0,0.0
action_value,wolf_kill,ridge_regression_stdlib,current_vote_total,0.0,0.0
identity_prediction,seer_candidate_states,logistic_regression_stdlib,candidate_physical_seat_numeric,0.14027173641406243,0.14027173641406243
identity_prediction,seer_candidate_states,logistic_regression_stdlib,candidate_made_accusations,0.1392907332744479,0.1392907332744479
identity_prediction,seer_candidate_states,logistic_regression_stdlib,candidate_received_accusations,0.13034478120653703,-0.13034478120653703
identity_prediction,seer_candidate_states,logistic_regression_stdlib,alive_count,0.09310965103257747,-0.09310965103257747
identity_prediction,seer_candidate_states,logistic_regression_stdlib,candidate_distance_from_actor,0.09222166492253868,-0.09222166492253868
identity_prediction,seer_candidate_states,logistic_regression_stdlib,candidate_defense_count,0.04907075896505093,-0.04907075896505093
identity_prediction,seer_candidate_states,logistic_regression_stdlib,candidate_public_influence_proxy,0.04854380913181758,-0.04854380913181758
identity_prediction,seer_candidate_states,logistic_regression_stdlib,round_number,0.04763809540171207,-0.04763809540171207
identity_prediction,seer_candidate_states,logistic_regression_stdlib,candidate_seat_is_edge,0.03975629435231179,0.03975629435231179
identity_prediction,seer_candidate_states,logistic_regression_stdlib,dead_count,0.0371558214285082,-0.0371558214285082
identity_prediction,seer_candidate_states,logistic_regression_stdlib,public_revealed_role_count,0.0371558214285082,-0.0371558214285082
identity_prediction,seer_candidate_states,logistic_regression_stdlib,number_of_previous_eliminations,0.0371558214285082,-0.0371558214285082
identity_prediction,seer_candidate_states,logistic_regression_stdlib,candidate_side_is_left,0.035534883077081414,-0.035534883077081414
identity_prediction,seer_candidate_states,logistic_regression_stdlib,actor_previous_votes_made,0.03461154815560352,-0.03461154815560352
identity_prediction,seer_candidate_states,logistic_regression_stdlib,actor_previous_speeches_made,0.03461154815560352,-0.03461154815560352
identity_prediction,seer_candidate_states,logistic_regression_stdlib,candidate_vote_made_count,0.03461154815560352,-0.03461154815560352
identity_prediction,seer_candidate_states,logistic_regression_stdlib,candidate_speech_count,0.03461154815560352,-0.03461154815560352
identity_prediction,seer_candidate_states,logistic_regression_stdlib,candidate_vote_received_count,0.027864521952428105,-0.027864521952428105
identity_prediction,seer_candidate_states,logistic_regression_stdlib,candidate_wrong_accusation_count,0.021900038203476503,0.021900038203476503
identity_prediction,seer_candidate_states,logistic_regression_stdlib,candidate_support_from_actor,0.021711982639485348,-0.021711982639485348
identity_prediction,seer_candidate_states,logistic_regression_stdlib,candidate_survival_proxy,0.016509758435662505,-0.016509758435662505
identity_prediction,seer_candidate_states,logistic_regression_stdlib,candidate_trust_from_actor,0.015367452805380431,-0.015367452805380431
identity_prediction,seer_candidate_states,logistic_regression_stdlib,phase_is_night,0.013026547246108569,-0.013026547246108569
identity_prediction,seer_candidate_states,logistic_regression_stdlib,decision_type_is_seer_check,0.013026547246108569,-0.013026547246108569
identity_prediction,seer_candidate_states,logistic_regression_stdlib,actor_team_is_village,0.013026547246108569,-0.013026547246108569
identity_prediction,seer_candidate_states,logistic_regression_stdlib,candidate_alive,0.013026547246108569,-0.013026547246108569
identity_prediction,seer_candidate_states,logistic_regression_stdlib,candidate_uncertainty_proxy,0.011204108901074176,-0.011204108901074176
identity_prediction,seer_candidate_states,logistic_regression_stdlib,candidate_search_coverage_bonus,0.011153750486110935,-0.011153750486110935
identity_prediction,seer_candidate_states,logistic_regression_stdlib,candidate_conflict_with_actor,0.010909243024080082,0.010909243024080082
identity_prediction,seer_candidate_states,logistic_regression_stdlib,candidate_was_previously_targeted_by_actor,0.010909243024080082,0.010909243024080082
identity_prediction,seer_candidate_states,logistic_regression_stdlib,candidate_p_wolf,0.009957630071490569,-0.009957630071490569
identity_prediction,seer_candidate_states,logistic_regression_stdlib,candidate_role_claim_count,0.007615428057072513,-0.007615428057072513
identity_prediction,seer_candidate_states,logistic_regression_stdlib,candidate_special_role_claim_count,0.007615428057072513,-0.007615428057072513
identity_prediction,seer_candidate_states,logistic_regression_stdlib,actor_p_wolf,0.00753835772807272,-0.00753835772807272
identity_prediction,seer_candidate_states,logistic_regression_stdlib,public_information_entropy_proxy,0.0044152777105063564,-0.0044152777105063564
identity_prediction,seer_candidate_states,logistic_regression_stdlib,candidate_suspicion_score,0.002162619662510894,-0.002162619662510894
identity_prediction,seer_candidate_states,logistic_regression_stdlib,actor_suspicion_score,0.0017630873820605188,-0.0017630873820605188
identity_prediction,seer_candidate_states,logistic_regression_stdlib,phase_is_day,0.0,0.0
identity_prediction,seer_candidate_states,logistic_regression_stdlib,decision_type_is_wolf_kill,0.0,0.0
identity_prediction,seer_candidate_states,logistic_regression_stdlib,decision_type_is_day_vote,0.0,0.0
identity_prediction,seer_candidate_states,logistic_regression_stdlib,actor_team_is_wolf,0.0,0.0
identity_prediction,seer_candidate_states,logistic_regression_stdlib,number_of_public_check_results,0.0,0.0
identity_prediction,seer_candidate_states,logistic_regression_stdlib,actor_risk_conservative,0.0,0.0
identity_prediction,seer_candidate_states,logistic_regression_stdlib,actor_risk_aggressive,0.0,0.0
identity_prediction,seer_candidate_states,logistic_regression_stdlib,actor_known_teammate_count,0.0,0.0
identity_prediction,seer_candidate_states,logistic_regression_stdlib,candidate_checked_by_actor_status,0.0,0.0
