model,formula,n,log_likelihood,converged,clockwise_vs_random_or,clockwise_vs_random_ci_low,clockwise_vs_random_ci_high,clockwise_vs_random_p,clockwise_vs_counterclockwise_or,clockwise_vs_counterclockwise_ci_low,clockwise_vs_counterclockwise_ci_high,clockwise_vs_counterclockwise_p,adjusted_prob_clockwise,adjusted_prob_random,adjusted_prob_counterclockwise,clockwise_minus_random_adjusted_pp,clockwise_minus_counter_adjusted_pp,note
A_strategy_seed,village_win ~ strategy + seed,10000,-6787.921013612558,True,1.1332567448304376,1.0126789123910038,1.2681915600191858,0.029293556668402276,1.1090520192862199,0.9911653555077246,1.2409598203246077,0.07103851605913603,0.4324000000000002,0.4020000000000003,0.4071999999999999,3.039999999999987,2.520000000000028,diagnostic only; added terms may be intermediate/post-treatment
B_plus_first_check_wolf,village_win ~ strategy + seed + first_check_target_is_wolf,10000,-6729.762966713884,True,1.1469306862180164,1.0241891442455888,1.2843818999443528,0.017602242071795837,1.1152447066041578,0.9960321745211425,1.248725480385767,0.05861488368984413,0.43329916714878947,0.40038449095142,0.40704883991236424,3.291467619736949,2.625032723642523,diagnostic only; added terms may be intermediate/post-treatment
C_plus_check2_check3,village_win ~ strategy + seed + found_wolf_by_check_2 + found_wolf_by_check_3,10000,-6578.83785494808,True,1.1317189734333604,1.0089040192923617,1.2694843219351972,0.034750764399429146,1.1090870793314775,0.988839345652574,1.2439575295502152,0.07700822346366087,0.43201975445078733,0.40317478160730524,0.4078464004481719,2.8844972843482086,2.4173354002615444,diagnostic only; added terms may be intermediate/post-treatment
D_plus_timing_no_wolf,village_win ~ strategy + seed + checks_until_first_wolf_filled + no_wolf_found,10000,-6497.9982438473335,True,1.130157427389206,1.006573706273034,1.2689143405227516,0.038368502692869066,1.1008700211271887,0.9805887423531547,1.2359052792185852,0.10353735524952912,0.43108633859236906,0.4030252984952155,0.4090052895759596,2.8061040097153542,2.2081049016409446,diagnostic only; added terms may be intermediate/post-treatment
E_plus_seer_survival,village_win ~ strategy + seed + seer_survived_to_game_end,10000,-6078.5887712171425,True,1.1773339160580985,1.0427695821211043,1.3292631216583746,0.00838131497892447,1.1454001180928566,1.0146449771307178,1.293005396071764,0.028157434527787295,0.4352963604743525,0.4011963957664856,0.40687543271892584,3.4099964707866914,2.842092775542665,diagnostic only; added terms may be intermediate/post-treatment
F_plus_checks_rounds,village_win ~ strategy + seed + total_seer_checks + total_rounds,10000,-6226.76721240865,True,1.1525764056078838,1.023282389634259,1.2982070093464586,0.019328775168695467,1.1308413775438595,1.004095731797631,1.2735859546737203,0.04262230118188315,0.43335789745392805,0.40248396506799583,0.4065936576553798,3.087393238593222,2.676423979854825,diagnostic only; added terms may be intermediate/post-treatment
G_full_diagnostic,village_win ~ strategy + seed + first_check_target_is_wolf + found_wolf_by_check_2 + found_wolf_by_check_3 + checks_until_first_wolf_filled + no_wolf_found + seer_survived_to_game_end + total_seer_checks + total_rounds,10000,-5870.266075836054,False,1.1857223435623183,1.0474442722357158,1.3422551569469325,0.007087917641578345,1.1435656016922506,1.0103605503621405,1.294332290492764,0.03374325902385866,0.4346377056682985,0.400532772816932,0.40771276273596163,3.410493285136651,2.692494293233688,diagnostic only; added terms may be intermediate/post-treatment
