decision_type,seed,candidate_rows,decision_states,mean_full_rollout_value,mean_surrogate_value,surrogate_full_pearson
seer_check,42,56,14,0.3137755102040816,0.5952380952380952,0.25023741915992437
wolf_kill,42,56,14,0.6658163265306122,0.5892857142857143,-0.154649934727334
day_vote,42,56,14,0.4362244897959183,0.5654761904761905,0.21670939595920094
seer_check,43,56,14,0.31887755102040816,0.5833333333333333,0.14872141650530107
wolf_kill,43,56,14,0.7423469387755102,0.5952380952380951,-0.011199280614501251
day_vote,43,56,14,0.35714285714285715,0.47619047619047616,0.19871381302561605
seer_check,44,56,14,0.336734693877551,0.5535714285714286,0.12378755541792914
wolf_kill,44,56,14,0.7295918367346939,0.6845238095238095,0.010710005768533754
day_vote,44,56,14,0.3163265306122449,0.5535714285714286,0.30696109387547416
seer_check,50,56,14,0.2576530612244898,0.6130952380952381,0.1942492617782335
wolf_kill,50,56,14,0.7168367346938774,0.6011904761904762,0.03823117346202664
day_vote,50,56,14,0.37244897959183676,0.4345238095238095,0.09661439411664166
seer_check,52,48,12,0.31845238095238093,0.7152777777777778,0.2949754242301411
wolf_kill,52,48,12,0.7083333333333334,0.6597222222222222,-0.0006996215196800253
day_vote,52,56,14,0.3903061224489796,0.5059523809523809,0.2381466950860197
seer_check,53,48,12,0.30357142857142855,0.6597222222222222,0.3532952899057681
wolf_kill,53,48,12,0.7380952380952381,0.611111111111111,0.07186994682200859
day_vote,53,56,14,0.40306122448979587,0.4523809523809524,0.09826813551475909
