decision_type,behavioral_regime_id,candidate_rows,decision_states,mean_full_rollout_value,mean_surrogate_value,surrogate_full_pearson
seer_check,baseline_rule_policy,48,12,0.24107142857142858,0.5694444444444444,0.386395600466941
wolf_kill,baseline_rule_policy,48,12,0.7232142857142857,0.625,-0.033167474534022245
day_vote,baseline_rule_policy,48,12,0.3452380952380952,0.5069444444444444,0.18008563072376957
seer_check,randomized_legal_policy,48,12,0.2738095238095238,0.6388888888888888,0.16638206097686856
wolf_kill,randomized_legal_policy,48,12,0.7767857142857143,0.6527777777777778,-0.03301087041899717
day_vote,randomized_legal_policy,48,12,0.3630952380952381,0.3680555555555555,0.22468868435300487
seer_check,mixed_rule_policy,48,12,0.3244047619047619,0.5625,0.3545593538920094
wolf_kill,mixed_rule_policy,48,12,0.6994047619047619,0.625,0.029298629584615477
day_vote,mixed_rule_policy,48,12,0.4166666666666667,0.5208333333333334,0.2206853388371588
seer_check,seat_order_neutral_policy,48,12,0.38095238095238093,0.6597222222222222,-0.005242180321842991
wolf_kill,seat_order_neutral_policy,48,12,0.6309523809523809,0.6527777777777778,-0.0635963891382899
day_vote,seat_order_neutral_policy,48,12,0.4226190476190476,0.5694444444444444,0.19417770532145637
seer_check,speech_and_herding_policy,48,12,0.28273809523809523,0.5763888888888888,0.16080762829426348
wolf_kill,speech_and_herding_policy,48,12,0.7440476190476191,0.5972222222222222,-0.042520837251405603
day_vote,speech_and_herding_policy,48,12,0.3511904761904762,0.5208333333333334,0.3956768803702066
seer_check,deception_enabled_policy,48,12,0.36607142857142855,0.7083333333333334,0.2541861223855001
wolf_kill,deception_enabled_policy,48,12,0.7023809523809524,0.6319444444444444,0.19709921883102455
day_vote,deception_enabled_policy,48,12,0.3630952380952381,0.4861111111111111,0.16506669199861257
seer_check,risk_heterogeneous_policy,32,8,0.27678571428571425,0.59375,0.01465120042903814
wolf_kill,risk_heterogeneous_policy,32,8,0.75,0.5520833333333333,-0.2053795869820659
day_vote,risk_heterogeneous_policy,48,12,0.39285714285714285,0.5138888888888888,-0.17343416515050733
