decision_id,split_name,split_level,behavioral_regime_id,decision_type,policy,existing_policy_action,ml_recommended_action,full_rollout_best_action,existing_policy_full_rollout_value,ml_recommendation_full_rollout_value,best_action_full_rollout_value,ml_improvement_over_existing,ml_regret,agrees_with_existing,agrees_with_full_best
1fd71b8c280f9ad6877458ba162621aca09c58f569218791254e9fdab14419bd,final_test,B_unseen_seed,baseline_rule_policy,day_vote,highest_suspicion,6,6,5,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.14285714285714285,1,0
1fd71b8c280f9ad6877458ba162621aca09c58f569218791254e9fdab14419bd,final_test,B_unseen_seed,baseline_rule_policy,day_vote,ml_identity_probability,6,6,5,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.14285714285714285,1,0
1fd71b8c280f9ad6877458ba162621aca09c58f569218791254e9fdab14419bd,final_test,B_unseen_seed,baseline_rule_policy,day_vote,ml_action_value_recommendation,6,5,5,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.0,0,1
5b4481c16d7f8a5451b34148e68468f7363aa1d5d682075058e3be2604c8b8af,final_test,B_unseen_seed,baseline_rule_policy,seer_check,ml_identity_probability,1,9,9,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.0,0,1
5b4481c16d7f8a5451b34148e68468f7363aa1d5d682075058e3be2604c8b8af,final_test,B_unseen_seed,baseline_rule_policy,seer_check,ml_full_action_value,1,9,9,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.0,0,1
5b4481c16d7f8a5451b34148e68468f7363aa1d5d682075058e3be2604c8b8af,final_test,B_unseen_seed,baseline_rule_policy,seer_check,ml_action_value_plus_exploration_bonus,1,9,9,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.0,0,1
6f1c00c96c9c8bf850090fca89ea86520a9b6af1cc0a35787b67ee1711073b3d,final_test,B_unseen_seed,baseline_rule_policy,wolf_kill,highest_threat_baseline,4,7,7,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.4285714285714286,0.0,0,1
6f1c00c96c9c8bf850090fca89ea86520a9b6af1cc0a35787b67ee1711073b3d,final_test,B_unseen_seed,baseline_rule_policy,wolf_kill,ml_action_value_recommendation,4,7,7,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.4285714285714286,0.0,0,1
837f4012e67c5108dfc172b1e554a77b95496a568079428444f55ebab63608d3,final_test,B_unseen_seed,baseline_rule_policy,day_vote,highest_suspicion,5,5,5,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0,0.0,1,1
837f4012e67c5108dfc172b1e554a77b95496a568079428444f55ebab63608d3,final_test,B_unseen_seed,baseline_rule_policy,day_vote,ml_identity_probability,5,5,5,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0,0.0,1,1
837f4012e67c5108dfc172b1e554a77b95496a568079428444f55ebab63608d3,final_test,B_unseen_seed,baseline_rule_policy,day_vote,ml_action_value_recommendation,5,5,5,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0,0.0,1,1
7b432efc74652e2944da3f9e27a1d47965b53575f7f93a324c5f73b8d7a9b48e,final_test,B_unseen_seed,baseline_rule_policy,seer_check,ml_identity_probability,5,8,6,0.2857142857142857,0.14285714285714285,0.2857142857142857,-0.14285714285714285,0.14285714285714285,0,0
7b432efc74652e2944da3f9e27a1d47965b53575f7f93a324c5f73b8d7a9b48e,final_test,B_unseen_seed,baseline_rule_policy,seer_check,ml_full_action_value,5,6,6,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.0,0,1
7b432efc74652e2944da3f9e27a1d47965b53575f7f93a324c5f73b8d7a9b48e,final_test,B_unseen_seed,baseline_rule_policy,seer_check,ml_action_value_plus_exploration_bonus,5,5,6,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.0,1,0
3c2e324cea7e0fd2734acd9c69deeca619599d7225fe124f8afe2f06a95d5ed7,final_test,B_unseen_seed,baseline_rule_policy,wolf_kill,highest_threat_baseline,5,5,9,0.8571428571428571,0.8571428571428571,1.0,0.0,0.1428571428571429,1,0
3c2e324cea7e0fd2734acd9c69deeca619599d7225fe124f8afe2f06a95d5ed7,final_test,B_unseen_seed,baseline_rule_policy,wolf_kill,ml_action_value_recommendation,5,9,9,0.8571428571428571,1.0,1.0,0.1428571428571429,0.0,0,1
bd8b158e15d6cd944a6ed8554d1cc7913a3d3db8ba53b039c6c7ecefb3c12b1d,final_test,B_unseen_seed,baseline_rule_policy,day_vote,highest_suspicion,10,5,4,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.14285714285714285,0,0
bd8b158e15d6cd944a6ed8554d1cc7913a3d3db8ba53b039c6c7ecefb3c12b1d,final_test,B_unseen_seed,baseline_rule_policy,day_vote,ml_identity_probability,10,4,4,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.0,0,1
bd8b158e15d6cd944a6ed8554d1cc7913a3d3db8ba53b039c6c7ecefb3c12b1d,final_test,B_unseen_seed,baseline_rule_policy,day_vote,ml_action_value_recommendation,10,4,4,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.0,0,1
fade4a2474e640605e9e8c909acfdce0c3f691008a9445b982077639ddf520c3,final_test,B_unseen_seed,baseline_rule_policy,seer_check,ml_identity_probability,8,9,8,0.42857142857142855,0.14285714285714285,0.42857142857142855,-0.2857142857142857,0.2857142857142857,0,0
fade4a2474e640605e9e8c909acfdce0c3f691008a9445b982077639ddf520c3,final_test,B_unseen_seed,baseline_rule_policy,seer_check,ml_full_action_value,8,8,8,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0,0.0,1,1
fade4a2474e640605e9e8c909acfdce0c3f691008a9445b982077639ddf520c3,final_test,B_unseen_seed,baseline_rule_policy,seer_check,ml_action_value_plus_exploration_bonus,8,8,8,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0,0.0,1,1
73ba336def5f08e8bfeefcb5b32f4205432af7a0ea0644c0826dd3df9ac5dff1,final_test,B_unseen_seed,baseline_rule_policy,wolf_kill,highest_threat_baseline,2,7,7,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.1428571428571429,0.0,0,1
73ba336def5f08e8bfeefcb5b32f4205432af7a0ea0644c0826dd3df9ac5dff1,final_test,B_unseen_seed,baseline_rule_policy,wolf_kill,ml_action_value_recommendation,2,7,7,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.1428571428571429,0.0,0,1
e17ffbe251f4efb4a7b479169251e3c6501823b967d89b6a2e5049f400650568,final_test,B_unseen_seed,baseline_rule_policy,day_vote,highest_suspicion,6,9,7,0.8571428571428571,0.8571428571428571,1.0,0.0,0.1428571428571429,0,0
e17ffbe251f4efb4a7b479169251e3c6501823b967d89b6a2e5049f400650568,final_test,B_unseen_seed,baseline_rule_policy,day_vote,ml_identity_probability,6,9,7,0.8571428571428571,0.8571428571428571,1.0,0.0,0.1428571428571429,0,0
e17ffbe251f4efb4a7b479169251e3c6501823b967d89b6a2e5049f400650568,final_test,B_unseen_seed,baseline_rule_policy,day_vote,ml_action_value_recommendation,6,7,7,0.8571428571428571,1.0,1.0,0.1428571428571429,0.0,0,1
433f71e5db94c606db90b3059d55825b343c6bf88399820f0ba21494607bf98a,validation,A_in_distribution,randomized_legal_policy,seer_check,ml_identity_probability,8,8,8,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0,0.0,1,1
433f71e5db94c606db90b3059d55825b343c6bf88399820f0ba21494607bf98a,validation,A_in_distribution,randomized_legal_policy,seer_check,ml_full_action_value,8,8,8,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0,0.0,1,1
433f71e5db94c606db90b3059d55825b343c6bf88399820f0ba21494607bf98a,validation,A_in_distribution,randomized_legal_policy,seer_check,ml_action_value_plus_exploration_bonus,8,8,8,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0,0.0,1,1
