decision_type,candidate_rows,decision_states,pearson_correlation,spearman_rank_correlation,mae,rmse,calibration_slope,calibration_intercept,top_action_agreement,top3_action_overlap,within_decision_rank_correlation,surrogate_regret_relative_to_full_best,surrogate_selects_full_best_rate,validity_classification
seer_check,320,80,0.20962968910794877,0.2989434711276478,0.38452380952380955,0.45934489485168317,0.13726751088246933,0.22338741590819156,0.3875,0.7875,0.25499999999999995,0.14464285714285713,0.3875,partial validity
wolf_kill,320,80,-0.009292591740668994,0.071781706852606,0.27514880952380955,0.3549635892029828,-0.0061639258639097525,0.7203574692955842,0.3125,0.7625,0.05749999999999998,0.13214285714285715,0.3125,weak validity
day_vote,336,84,0.18909999082896695,0.24187013217085407,0.3242630385487528,0.3960820702465617,0.15309880788507227,0.30300606421369847,0.35714285714285715,0.7777777777777777,0.2428571428571428,0.11904761904761904,0.35714285714285715,weak validity
