decision_id,decision_type,candidate_uid,split_name,behavioral_regime_id,surrogate_rollout_value,full_rollout_mean_team_win_rate,full_rollout_best_action,full_rollout_value_rank_within_decision
9f117d5c977187a4fc8c5dcdd20d4fece9acf66b29554e1df9554ade09bd2b6f,day_vote,10,train,baseline_rule_policy,0.0,0.0,5,4
9f117d5c977187a4fc8c5dcdd20d4fece9acf66b29554e1df9554ade09bd2b6f,day_vote,5,train,baseline_rule_policy,0.3333333333333333,0.42857142857142855,5,1
9f117d5c977187a4fc8c5dcdd20d4fece9acf66b29554e1df9554ade09bd2b6f,day_vote,7,train,baseline_rule_policy,0.3333333333333333,0.14285714285714285,5,3
04177ecd8dc5f4224d3563f7510642254b621198613f72b71a20383254802f36,seer_check,8,train,baseline_rule_policy,0.3333333333333333,0.2857142857142857,1,2
04177ecd8dc5f4224d3563f7510642254b621198613f72b71a20383254802f36,seer_check,1,train,baseline_rule_policy,0.6666666666666666,0.42857142857142855,1,1
04177ecd8dc5f4224d3563f7510642254b621198613f72b71a20383254802f36,seer_check,2,train,baseline_rule_policy,0.6666666666666666,0.2857142857142857,1,2
04177ecd8dc5f4224d3563f7510642254b621198613f72b71a20383254802f36,seer_check,5,train,baseline_rule_policy,0.3333333333333333,0.0,1,4
91dff9376ca920eb880e0fa337311e87ecfa7e9a239201effeeeb6ca13af436b,wolf_kill,8,train,baseline_rule_policy,0.3333333333333333,0.7142857142857143,3,2
91dff9376ca920eb880e0fa337311e87ecfa7e9a239201effeeeb6ca13af436b,wolf_kill,1,train,baseline_rule_policy,0.6666666666666666,0.7142857142857143,3,2
91dff9376ca920eb880e0fa337311e87ecfa7e9a239201effeeeb6ca13af436b,wolf_kill,5,train,baseline_rule_policy,0.6666666666666666,0.5714285714285714,3,4
91dff9376ca920eb880e0fa337311e87ecfa7e9a239201effeeeb6ca13af436b,wolf_kill,3,train,baseline_rule_policy,0.6666666666666666,0.8571428571428571,3,1
8dc6c968885d370e47693928658c07b0c98705c83d44625211b686ec7c545e83,day_vote,6,train,baseline_rule_policy,0.3333333333333333,0.14285714285714285,6,1
8dc6c968885d370e47693928658c07b0c98705c83d44625211b686ec7c545e83,day_vote,10,train,baseline_rule_policy,0.3333333333333333,0.0,6,2
8dc6c968885d370e47693928658c07b0c98705c83d44625211b686ec7c545e83,day_vote,7,train,baseline_rule_policy,0.6666666666666666,0.0,6,2
8dc6c968885d370e47693928658c07b0c98705c83d44625211b686ec7c545e83,day_vote,2,train,baseline_rule_policy,0.6666666666666666,0.0,6,2
41dc0c4fb5fa422295525814d24583d9cade7eea90684dbf1e4b8847e68b3b73,seer_check,1,train,baseline_rule_policy,0.6666666666666666,0.14285714285714285,9,2
41dc0c4fb5fa422295525814d24583d9cade7eea90684dbf1e4b8847e68b3b73,seer_check,4,train,baseline_rule_policy,0.3333333333333333,0.0,9,3
