context,model,split_name,candidate_rows,game_families,roc_auc,pr_auc,brier_score,log_loss,calibration_slope,calibration_intercept,expected_calibration_error,top1_wolf_hit_rate,top3_wolf_recall
seer_candidate_states,existing_p_wolf,train,120,30,0.5,1.0,0.24999999999999997,0.6955940880936143,,,0.10000000000000003,0.4,0.7435897435897435
seer_candidate_states,existing_suspicion,train,120,30,0.5,1.0,0.4,5.526204823186004,,,0.4,0.4,0.7435897435897435
seer_candidate_states,logistic_regression_stdlib,train,120,30,0.6504629629629629,0.5991533906575038,0.22526007311781035,0.6416760873137374,1.2697306013212197,-0.16895674796666937,0.06117944675666462,0.5333333333333333,0.8782051282051282
seer_candidate_states,existing_p_wolf,validation,40,10,0.5,1.0,0.21999999999999997,0.6320467485645732,,,0.025000000000000022,0.6,0.6851851851851852
seer_candidate_states,existing_suspicion,validation,40,10,0.5,1.0,0.325,4.4900416063387265,,,0.325,0.6,0.6851851851851852
seer_candidate_states,logistic_regression_stdlib,validation,40,10,0.6381766381766382,0.43804179000033083,0.22387967021899477,0.6388116646079133,1.0877799995520483,-0.15757504234430386,0.11863294282210553,0.4,0.8518518518518519
seer_candidate_states,existing_p_wolf,final_test,80,20,0.5,1.0,0.21999999999999997,0.6320467485645741,,,0.025000000000000022,0.35,0.8725490196078431
seer_candidate_states,existing_suspicion,final_test,80,20,0.5,1.0,0.325,4.49004160633873,,,0.325,0.35,0.8725490196078431
seer_candidate_states,logistic_regression_stdlib,final_test,80,20,0.5986467236467237,0.43056133465757757,0.23238490069301831,0.6567663703382848,0.6535695787842835,0.02907158138746202,0.12778793294357388,0.45,0.8137254901960784
seer_candidate_states,existing_p_wolf,ood_test,80,20,0.5,1.0,0.24499999999999997,0.6850028648387744,,,0.08750000000000002,0.3,0.5925925925925926
seer_candidate_states,existing_suspicion,ood_test,80,20,0.5,1.0,0.3875,5.353510953711466,,,0.3875,0.3,0.5925925925925926
seer_candidate_states,logistic_regression_stdlib,ood_test,80,20,0.5681369321922317,0.5238116568552745,0.23762208526756906,0.6685632111614594,0.6044967706051158,0.12242748511477725,0.08324767368335165,0.65,0.787037037037037
village_vote_candidate_states,existing_p_wolf,train,84,21,0.5907407407407408,1.0,0.21675595238095238,0.6234835695817323,2.559969659618848,-0.4276097468474445,0.061309523809523814,0.38095238095238093,0.85
village_vote_candidate_states,existing_suspicion,train,84,21,0.5666666666666667,1.0,0.33630952380952384,4.342244118471167,2.6999999999999997,0.325,0.34523809523809523,0.38095238095238093,0.825
village_vote_candidate_states,logistic_regression_stdlib,train,84,21,0.6975308641975309,0.6477797655429807,0.20381626792810928,0.5903176208528,1.356721443429648,-0.21057277403386016,0.0671917945812206,0.5714285714285714,0.85
village_vote_candidate_states,existing_p_wolf,validation,36,9,0.6634615384615384,1.0,0.17527777777777775,0.5361309211254025,2.9166666666666665,-0.6458333333333333,0.11388888888888887,0.4444444444444444,0.8095238095238095
village_vote_candidate_states,existing_suspicion,validation,36,9,0.65,1.0,0.24131944444444445,2.8018745274756256,3.151515151515152,0.21212121212121213,0.2569444444444444,0.4444444444444444,0.8095238095238095
village_vote_candidate_states,logistic_regression_stdlib,validation,36,9,0.698076923076923,0.6058750820902523,0.1767204865325536,0.5312241565388348,1.3793178480227333,-0.31004931099765987,0.15985155306247728,0.6666666666666666,0.7857142857142857
village_vote_candidate_states,existing_p_wolf,final_test,56,14,0.6586059743954481,1.0,0.20187499999999997,0.5874099410022898,2.4804992199687987,-0.391575663026521,0.08214285714285714,0.42857142857142855,0.8833333333333334
village_vote_candidate_states,existing_suspicion,final_test,56,14,0.5789473684210527,1.0,0.3158482142857143,4.021555160907262,2.7924528301886795,0.30188679245283023,0.32589285714285715,0.42857142857142855,0.7333333333333333
village_vote_candidate_states,logistic_regression_stdlib,final_test,56,14,0.6678520625889047,0.6315486779302569,0.19106471470473613,0.5580886617372569,1.234718565413999,-0.16004429512188229,0.09528172772890713,0.42857142857142855,0.8333333333333334
village_vote_candidate_states,existing_p_wolf,ood_test,76,19,0.5935483870967742,1.0,0.23536184210526315,0.6627173441281955,2.4740321057601506,-0.3522190745986778,0.1125,0.631578947368421,0.9313725490196079
village_vote_candidate_states,existing_suspicion,ood_test,76,19,0.5645161290322581,1.0,0.3848684210526316,4.981105361967601,2.4999999999999996,0.375,0.39473684210526316,0.631578947368421,0.9019607843137255
village_vote_candidate_states,logistic_regression_stdlib,ood_test,76,19,0.5860215053763441,0.5271863257482058,0.22219514529283546,0.6271557525933232,1.0120209827480071,-0.0191516866643881,0.05555675538765836,0.5263157894736842,0.8333333333333333
