decision_id,observation_id,game_id,seed,base_game_index,behavioral_regime_id,split_name,split_level,decision_type,actor_uid,candidate_uid,continuation_policy_id,rollout_seed,full_rollout_winner,full_rollout_team_win,full_rollout_village_win,full_rollout_wolf_win,full_rollout_total_rounds,full_rollout_target_role,full_rollout_target_is_wolf,full_rollout_target_is_special,full_rollout_witch_save_occurred,full_rollout_hunter_retaliation_occurred,full_rollout_found_wolf_by_check_2,full_rollout_found_wolf_by_check_3,full_rollout_total_wolves_found,full_rollout_seer_survived,full_rollout_forced_vote_contributed,full_rollout_eliminated_role,full_rollout_alive_wolves,full_rollout_alive_villagers
33c38928c575bd549cdb07374e414e019cdda1a0fc582ce192131b28de397e70,10513d6ab909ac72c794c5b7917c2a94c089cc66fc506898a181332f7952e59d,baseline_rule_policy_seed_42_game_1_seer_check,42,1,baseline_rule_policy,train,A_in_distribution,seer_check,9,2,randomized_legal_policy,686750558,wolf,0,0,1,4,villager,0,0,1,1,1,1,1,0,0,witch,1,1
33c38928c575bd549cdb07374e414e019cdda1a0fc582ce192131b28de397e70,10513d6ab909ac72c794c5b7917c2a94c089cc66fc506898a181332f7952e59d,baseline_rule_policy_seed_42_game_1_seer_check,42,1,baseline_rule_policy,train,A_in_distribution,seer_check,9,2,mixed_rule_policy,3367483873,wolf,0,0,1,4,villager,0,0,1,0,0,0,0,0,0,villager,2,2
33c38928c575bd549cdb07374e414e019cdda1a0fc582ce192131b28de397e70,10513d6ab909ac72c794c5b7917c2a94c089cc66fc506898a181332f7952e59d,baseline_rule_policy_seed_42_game_1_seer_check,42,1,baseline_rule_policy,train,A_in_distribution,seer_check,9,2,seat_order_neutral_policy,2313821272,wolf,0,0,1,4,villager,0,0,1,0,0,0,0,0,0,villager,2,2
33c38928c575bd549cdb07374e414e019cdda1a0fc582ce192131b28de397e70,10513d6ab909ac72c794c5b7917c2a94c089cc66fc506898a181332f7952e59d,baseline_rule_policy_seed_42_game_1_seer_check,42,1,baseline_rule_policy,train,A_in_distribution,seer_check,9,2,speech_and_herding_policy,2230615700,village,1,1,0,4,villager,0,0,1,1,1,1,1,0,0,villager,0,2
33c38928c575bd549cdb07374e414e019cdda1a0fc582ce192131b28de397e70,10513d6ab909ac72c794c5b7917c2a94c089cc66fc506898a181332f7952e59d,baseline_rule_policy_seed_42_game_1_seer_check,42,1,baseline_rule_policy,train,A_in_distribution,seer_check,9,2,deception_enabled_policy,2581661967,wolf,0,0,1,3,villager,0,0,1,0,0,0,0,0,0,villager,3,3
33c38928c575bd549cdb07374e414e019cdda1a0fc582ce192131b28de397e70,10513d6ab909ac72c794c5b7917c2a94c089cc66fc506898a181332f7952e59d,baseline_rule_policy_seed_42_game_1_seer_check,42,1,baseline_rule_policy,train,A_in_distribution,seer_check,9,2,risk_heterogeneous_policy,356632929,wolf,0,0,1,3,villager,0,0,1,0,0,0,0,0,0,villager,3,3
ee3414b095b559cbd8e8ef9b31eaa3a84778a28c72c520bba0c6e853bba200fe,43c89d95780b2a183eb8d938958a7672586347dac14c1b455019e931aa19c4fe,baseline_rule_policy_seed_42_game_1_wolf_kill,42,1,baseline_rule_policy,train,A_in_distribution,wolf_kill,1,10,baseline_rule_policy,3088103328,village,0,1,0,4,witch,0,1,1,0,0,0,0,0,0,werewolf,0,2
ee3414b095b559cbd8e8ef9b31eaa3a84778a28c72c520bba0c6e853bba200fe,43c89d95780b2a183eb8d938958a7672586347dac14c1b455019e931aa19c4fe,baseline_rule_policy_seed_42_game_1_wolf_kill,42,1,baseline_rule_policy,train,A_in_distribution,wolf_kill,1,10,randomized_legal_policy,3933035308,wolf,1,0,1,4,witch,0,1,1,0,0,0,0,0,0,hunter,1,1
ee3414b095b559cbd8e8ef9b31eaa3a84778a28c72c520bba0c6e853bba200fe,43c89d95780b2a183eb8d938958a7672586347dac14c1b455019e931aa19c4fe,baseline_rule_policy_seed_42_game_1_wolf_kill,42,1,baseline_rule_policy,train,A_in_distribution,wolf_kill,1,10,mixed_rule_policy,1735711891,village,0,1,0,3,witch,0,1,1,0,1,1,1,0,0,werewolf,0,4
ee3414b095b559cbd8e8ef9b31eaa3a84778a28c72c520bba0c6e853bba200fe,43c89d95780b2a183eb8d938958a7672586347dac14c1b455019e931aa19c4fe,baseline_rule_policy_seed_42_game_1_wolf_kill,42,1,baseline_rule_policy,train,A_in_distribution,wolf_kill,1,10,seat_order_neutral_policy,841414736,wolf,1,0,1,2,witch,0,1,1,0,0,0,0,1,0,villager,3,3
ee3414b095b559cbd8e8ef9b31eaa3a84778a28c72c520bba0c6e853bba200fe,43c89d95780b2a183eb8d938958a7672586347dac14c1b455019e931aa19c4fe,baseline_rule_policy_seed_42_game_1_wolf_kill,42,1,baseline_rule_policy,train,A_in_distribution,wolf_kill,1,10,speech_and_herding_policy,1505868404,village,0,1,0,4,witch,0,1,1,1,1,1,1,0,0,villager,0,2
ee3414b095b559cbd8e8ef9b31eaa3a84778a28c72c520bba0c6e853bba200fe,43c89d95780b2a183eb8d938958a7672586347dac14c1b455019e931aa19c4fe,baseline_rule_policy_seed_42_game_1_wolf_kill,42,1,baseline_rule_policy,train,A_in_distribution,wolf_kill,1,10,deception_enabled_policy,905075049,wolf,1,0,1,4,witch,0,1,1,1,0,0,0,0,0,villager,1,1
ee3414b095b559cbd8e8ef9b31eaa3a84778a28c72c520bba0c6e853bba200fe,43c89d95780b2a183eb8d938958a7672586347dac14c1b455019e931aa19c4fe,baseline_rule_policy_seed_42_game_1_wolf_kill,42,1,baseline_rule_policy,train,A_in_distribution,wolf_kill,1,10,risk_heterogeneous_policy,453727539,wolf,1,0,1,4,witch,0,1,1,1,0,0,0,0,0,villager,1,1
ee3414b095b559cbd8e8ef9b31eaa3a84778a28c72c520bba0c6e853bba200fe,43c89d95780b2a183eb8d938958a7672586347dac14c1b455019e931aa19c4fe,baseline_rule_policy_seed_42_game_1_wolf_kill,42,1,baseline_rule_policy,train,A_in_distribution,wolf_kill,1,4,baseline_rule_policy,3765519256,wolf,1,0,1,4,villager,0,0,1,1,0,1,1,0,1,witch,1,1
ee3414b095b559cbd8e8ef9b31eaa3a84778a28c72c520bba0c6e853bba200fe,43c89d95780b2a183eb8d938958a7672586347dac14c1b455019e931aa19c4fe,baseline_rule_policy_seed_42_game_1_wolf_kill,42,1,baseline_rule_policy,train,A_in_distribution,wolf_kill,1,4,randomized_legal_policy,422504704,village,0,1,0,3,villager,0,0,1,1,0,1,1,1,0,werewolf,0,3
ee3414b095b559cbd8e8ef9b31eaa3a84778a28c72c520bba0c6e853bba200fe,43c89d95780b2a183eb8d938958a7672586347dac14c1b455019e931aa19c4fe,baseline_rule_policy_seed_42_game_1_wolf_kill,42,1,baseline_rule_policy,train,A_in_distribution,wolf_kill,1,4,mixed_rule_policy,313813996,wolf,1,0,1,4,villager,0,0,0,0,0,0,0,0,0,villager,1,1
ee3414b095b559cbd8e8ef9b31eaa3a84778a28c72c520bba0c6e853bba200fe,43c89d95780b2a183eb8d938958a7672586347dac14c1b455019e931aa19c4fe,baseline_rule_policy_seed_42_game_1_wolf_kill,42,1,baseline_rule_policy,train,A_in_distribution,wolf_kill,1,4,seat_order_neutral_policy,1551365391,wolf,1,0,1,2,villager,0,0,1,0,0,0,0,1,0,villager,3,3
ee3414b095b559cbd8e8ef9b31eaa3a84778a28c72c520bba0c6e853bba200fe,43c89d95780b2a183eb8d938958a7672586347dac14c1b455019e931aa19c4fe,baseline_rule_policy_seed_42_game_1_wolf_kill,42,1,baseline_rule_policy,train,A_in_distribution,wolf_kill,1,4,speech_and_herding_policy,2773646793,wolf,1,0,1,4,villager,0,0,1,0,0,0,0,0,1,villager,2,2
ee3414b095b559cbd8e8ef9b31eaa3a84778a28c72c520bba0c6e853bba200fe,43c89d95780b2a183eb8d938958a7672586347dac14c1b455019e931aa19c4fe,baseline_rule_policy_seed_42_game_1_wolf_kill,42,1,baseline_rule_policy,train,A_in_distribution,wolf_kill,1,4,deception_enabled_policy,3139112855,village,0,1,0,2,villager,0,0,1,0,0,0,0,0,0,werewolf,0,6
ee3414b095b559cbd8e8ef9b31eaa3a84778a28c72c520bba0c6e853bba200fe,43c89d95780b2a183eb8d938958a7672586347dac14c1b455019e931aa19c4fe,baseline_rule_policy_seed_42_game_1_wolf_kill,42,1,baseline_rule_policy,train,A_in_distribution,wolf_kill,1,4,risk_heterogeneous_policy,471012604,village,0,1,0,4,villager,0,0,1,1,1,1,1,0,0,werewolf,0,2
ee3414b095b559cbd8e8ef9b31eaa3a84778a28c72c520bba0c6e853bba200fe,43c89d95780b2a183eb8d938958a7672586347dac14c1b455019e931aa19c4fe,baseline_rule_policy_seed_42_game_1_wolf_kill,42,1,baseline_rule_policy,train,A_in_distribution,wolf_kill,1,6,baseline_rule_policy,4274141051,village,0,1,0,4,hunter,0,1,1,1,0,0,1,0,0,werewolf,0,2
ee3414b095b559cbd8e8ef9b31eaa3a84778a28c72c520bba0c6e853bba200fe,43c89d95780b2a183eb8d938958a7672586347dac14c1b455019e931aa19c4fe,baseline_rule_policy_seed_42_game_1_wolf_kill,42,1,baseline_rule_policy,train,A_in_distribution,wolf_kill,1,6,randomized_legal_policy,2768165236,wolf,1,0,1,2,hunter,0,1,1,1,0,0,0,1,0,villager,3,3
