strategy,seed,num_games,wolf_win_rate,village_win_rate,draw_rate,first_check_wolf_rate,found_wolf_by_check_1_rate,found_wolf_by_check_2_rate,found_wolf_by_check_3_rate,mean_checks_until_first_wolf,no_wolf_found_rate,mean_wolves_found_per_game,seer_survival_rate,mean_total_seer_checks,mean_search_path_coverage_score,mean_unique_seat_types_checked,mean_unique_sides_checked,mean_pairwise_distance_between_checked_targets
left_to_right,46,500,0.568,0.432,0.0,0.31,0.31,0.548,0.638,1.7469879518072289,0.336,0.948,0.344,2.702,0.3002222222222222,1.826,1.222,1.852
right_to_left,42,500,0.53,0.47,0.0,0.324,0.324,0.542,0.64,1.772189349112426,0.324,0.97,0.35,2.694,0.29933333333333334,1.82,1.15,1.555
right_to_left,43,500,0.552,0.448,0.0,0.346,0.346,0.55,0.648,1.7091988130563798,0.326,0.974,0.36,2.654,0.29488888888888887,1.812,1.152,1.5272000000000001
right_to_left,44,500,0.574,0.426,0.0,0.354,0.354,0.55,0.65,1.6875,0.328,0.97,0.348,2.652,0.29466666666666663,1.81,1.12,1.5063333333333333
right_to_left,45,500,0.562,0.438,0.0,0.352,0.352,0.586,0.67,1.6451612903225807,0.318,1.024,0.338,2.662,0.29577777777777775,1.832,1.16,1.5222
right_to_left,46,500,0.588,0.412,0.0,0.288,0.288,0.5,0.61,1.7879746835443038,0.368,0.9,0.288,2.636,0.29288888888888887,1.812,1.144,1.4813333333333332
alternate_sides,42,500,0.576,0.424,0.0,0.336,0.336,0.542,0.626,1.7619047619047619,0.328,0.942,0.304,2.704,0.3004444444444444,1.802,1.878,2.1799333333333335
alternate_sides,43,500,0.558,0.442,0.0,0.326,0.326,0.55,0.64,1.7099697885196374,0.338,0.91,0.316,2.574,0.286,1.768,1.852,2.1409333333333334
alternate_sides,44,500,0.534,0.466,0.0,0.356,0.356,0.566,0.65,1.7348703170028819,0.306,0.974,0.326,2.694,0.29933333333333334,1.806,1.892,2.2018666666666666
alternate_sides,45,500,0.562,0.438,0.0,0.286,0.286,0.512,0.588,1.75,0.384,0.882,0.314,2.594,0.2882222222222222,1.74,1.838,2.0456666666666665
alternate_sides,46,500,0.562,0.438,0.0,0.358,0.358,0.582,0.66,1.6676384839650147,0.314,0.998,0.326,2.656,0.2951111111111111,1.788,1.88,2.1893333333333334
