avg_total_rounds,avg_vote_control_proxy,avg_wolf_survival_count,games,hunter_kill_rate,hunter_retaliation_rate,policy_name,seer_kill_rate,special_role_kill_rate,successful_night_kill_rate,witch_kill_rate,witch_save_rate
3.23,1.785,1.4,200,0.1609907120743034,0.21052631578947367,existing_rule,0.28637770897832815,0.6749226006191951,0.7321981424148607,0.22755417956656346,0.2678018575851393
3.25,1.65,1.12,200,0.12,0.18461538461538463,frozen_hybrid_50_50,0.09384615384615384,0.3123076923076923,0.74,0.09846153846153846,0.26
3.265,1.675,1.215,200,0.11791730474732007,0.1776416539050536,frozen_ml,0.0888208269525268,0.31546707503828486,0.7442572741194488,0.10872894333843798,0.2557427258805513
3.255,1.625,1.245,200,0.10906298003072197,0.16897081413210446,frozen_ml_epsilon_010,0.08755760368663594,0.31490015360983103,0.7465437788018433,0.11827956989247312,0.2534562211981567
