base_game_index,behavioral_regime_id,decision_id,distribution_shift_category,draw,existing_rule_target,first_wolf_death_round,frozen_hybrid_50_50_target,frozen_ml_epsilon_010_target,frozen_ml_target,game_id,hunter_kills,hunter_retaliation_occurred,hunter_retaliations,hybrid_existing_agree,manifest_hash,matched_set_id,ml_existing_agree,ml_hybrid_agree,night_kill_attempts,number_of_legal_candidates,phase,policy_name,round,round_number,seed,seer_kills,selected_target,selected_target_actor_uid,selected_target_killed,selected_target_rank_under_existing_rule,selected_target_rank_under_ml,selected_target_role,selection_reason,special_role_kills,successful_night_kills,time_to_parity,top_two_predicted_value_margin,total_rounds,village_win,vote_control_proxy,winner,witch_kills,witch_saved_target,witch_saves,wolf_kill_decisions,wolf_survival_count,wolf_win
1,speech_disabled,seed_100_base_1_regime_speech_disabled_policy_frozen_hybrid_50_50_round_3_decision_3,strong_shift,0,3,1,1,1,1,seed_100_base_1_regime_speech_disabled_policy_frozen_hybrid_50_50,0,0,1,0,3636ee12b35a57bbe8811b59ccf2c37a2bfec25ced6170ee3f51615da6f64f83,seed_100_base_1_regime_speech_disabled,0,1,3,3,night,frozen_hybrid_50_50,3,3,100,0,1,1,1,1,1,witch,highest_hybrid_score_50_50,1,3,,0.00028848856861918293,3,1,2,village,1,0,0,3,0,0
1,speech_disabled,seed_100_base_1_regime_speech_disabled_policy_frozen_ml_epsilon_010_round_1_decision_1,in_distribution,0,3,1,9,9,9,seed_100_base_1_regime_speech_disabled_policy_frozen_ml_epsilon_010,0,0,1,0,3636ee12b35a57bbe8811b59ccf2c37a2bfec25ced6170ee3f51615da6f64f83,seed_100_base_1_regime_speech_disabled,0,1,3,7,night,frozen_ml_epsilon_010,1,3,100,0,9,9,1,3,1,villager,epsilon_policy_greedy,1,3,,0.021103063240629716,3,1,2,village,1,0,0,3,0,0
1,speech_disabled,seed_100_base_1_regime_speech_disabled_policy_frozen_ml_epsilon_010_round_2_decision_2,strong_shift,0,3,1,7,7,7,seed_100_base_1_regime_speech_disabled_policy_frozen_ml_epsilon_010,0,1,1,0,3636ee12b35a57bbe8811b59ccf2c37a2bfec25ced6170ee3f51615da6f64f83,seed_100_base_1_regime_speech_disabled,0,1,3,5,night,frozen_ml_epsilon_010,2,3,100,0,7,7,1,1,1,villager,epsilon_policy_greedy,1,3,,0.00405054439278929,3,1,2,village,1,0,0,3,0,0
1,speech_disabled,seed_100_base_1_regime_speech_disabled_policy_frozen_ml_epsilon_010_round_3_decision_3,strong_shift,0,3,1,1,1,1,seed_100_base_1_regime_speech_disabled_policy_frozen_ml_epsilon_010,0,0,1,0,3636ee12b35a57bbe8811b59ccf2c37a2bfec25ced6170ee3f51615da6f64f83,seed_100_base_1_regime_speech_disabled,0,1,3,3,night,frozen_ml_epsilon_010,3,3,100,0,1,1,1,1,1,witch,epsilon_policy_greedy,1,3,,0.00028848856861918293,3,1,2,village,1,0,0,3,0,0
1,herding_enabled,seed_100_base_1_regime_herding_enabled_policy_existing_rule_round_1_decision_1,in_distribution,0,3,,7,10,10,seed_100_base_1_regime_herding_enabled_policy_existing_rule,1,0,1,0,3636ee12b35a57bbe8811b59ccf2c37a2bfec25ced6170ee3f51615da6f64f83,seed_100_base_1_regime_herding_enabled,0,0,2,7,night,existing_rule,1,2,100,1,3,3,1,6,5,seer,existing_rule,2,2,2,0.004553000504926574,2,0,1,wolf,0,0,0,2,3,1
1,herding_enabled,seed_100_base_1_regime_herding_enabled_policy_existing_rule_round_2_decision_2,mild_shift,0,7,,10,7,7,seed_100_base_1_regime_herding_enabled_policy_existing_rule,1,1,1,0,3636ee12b35a57bbe8811b59ccf2c37a2bfec25ced6170ee3f51615da6f64f83,seed_100_base_1_regime_herding_enabled,1,0,2,5,night,existing_rule,2,2,100,1,7,7,1,3,1,hunter,existing_rule,2,2,2,0.004176000863193807,2,0,1,wolf,0,0,0,2,3,1
1,herding_enabled,seed_100_base_1_regime_herding_enabled_policy_frozen_ml_round_1_decision_1,in_distribution,0,3,2,7,10,10,seed_100_base_1_regime_herding_enabled_policy_frozen_ml,1,0,1,0,3636ee12b35a57bbe8811b59ccf2c37a2bfec25ced6170ee3f51615da6f64f83,seed_100_base_1_regime_herding_enabled,0,0,3,7,night,frozen_ml,1,3,100,1,10,10,1,4,1,villager,highest_frozen_ml_value,2,3,3,0.004553000504926574,3,0,2,wolf,0,0,0,3,2,1
1,herding_enabled,seed_100_base_1_regime_herding_enabled_policy_frozen_ml_round_2_decision_2,strong_shift,0,3,2,1,1,7,seed_100_base_1_regime_herding_enabled_policy_frozen_ml,1,1,1,0,3636ee12b35a57bbe8811b59ccf2c37a2bfec25ced6170ee3f51615da6f64f83,seed_100_base_1_regime_herding_enabled,0,0,3,5,night,frozen_ml,2,3,100,1,7,7,1,2,1,hunter,highest_frozen_ml_value,2,3,3,0.0010917909832138806,3,0,2,wolf,0,0,0,3,2,1
1,herding_enabled,seed_100_base_1_regime_herding_enabled_policy_frozen_ml_round_3_decision_3,strong_shift,0,3,2,1,3,3,seed_100_base_1_regime_herding_enabled_policy_frozen_ml,1,0,1,0,3636ee12b35a57bbe8811b59ccf2c37a2bfec25ced6170ee3f51615da6f64f83,seed_100_base_1_regime_herding_enabled,1,0,3,3,night,frozen_ml,3,3,100,1,3,3,1,2,1,seer,highest_frozen_ml_value,2,3,3,0.03393542775747138,3,0,2,wolf,0,0,0,3,2,1
1,herding_enabled,seed_100_base_1_regime_herding_enabled_policy_frozen_hybrid_50_50_round_1_decision_1,mild_shift,0,3,2,7,10,10,seed_100_base_1_regime_herding_enabled_policy_frozen_hybrid_50_50,1,1,1,0,3636ee12b35a57bbe8811b59ccf2c37a2bfec25ced6170ee3f51615da6f64f83,seed_100_base_1_regime_herding_enabled,0,0,3,7,night,frozen_hybrid_50_50,1,3,100,0,7,7,1,1,3,hunter,highest_hybrid_score_50_50,1,2,,0.004553000504926574,3,1,1,village,0,0,1,3,0,0
1,herding_enabled,seed_100_base_1_regime_herding_enabled_policy_frozen_hybrid_50_50_round_2_decision_2,strong_shift,0,3,2,4,2,2,seed_100_base_1_regime_herding_enabled_policy_frozen_hybrid_50_50,1,0,1,0,3636ee12b35a57bbe8811b59ccf2c37a2bfec25ced6170ee3f51615da6f64f83,seed_100_base_1_regime_herding_enabled,0,0,3,4,night,frozen_hybrid_50_50,2,3,100,0,4,4,0,1,3,villager,highest_hybrid_score_50_50,1,2,,0.01072202317880988,3,1,1,village,0,1,1,3,0,0
1,herding_enabled,seed_100_base_1_regime_herding_enabled_policy_frozen_hybrid_50_50_round_3_decision_3,strong_shift,0,3,2,4,2,2,seed_100_base_1_regime_herding_enabled_policy_frozen_hybrid_50_50,1,0,1,0,3636ee12b35a57bbe8811b59ccf2c37a2bfec25ced6170ee3f51615da6f64f83,seed_100_base_1_regime_herding_enabled,0,0,3,4,night,frozen_hybrid_50_50,3,3,100,0,4,4,1,1,3,villager,highest_hybrid_score_50_50,1,2,,0.013939501386937114,3,1,1,village,0,0,1,3,0,0
1,herding_enabled,seed_100_base_1_regime_herding_enabled_policy_frozen_ml_epsilon_010_round_1_decision_1,in_distribution,0,3,2,7,10,10,seed_100_base_1_regime_herding_enabled_policy_frozen_ml_epsilon_010,1,0,1,0,3636ee12b35a57bbe8811b59ccf2c37a2bfec25ced6170ee3f51615da6f64f83,seed_100_base_1_regime_herding_enabled,0,0,4,7,night,frozen_ml_epsilon_010,1,4,100,1,10,10,1,4,1,villager,epsilon_policy_greedy,2,4,4,0.004553000504926574,4,0,2,wolf,0,0,0,4,1,1
1,herding_enabled,seed_100_base_1_regime_herding_enabled_policy_frozen_ml_epsilon_010_round_2_decision_2,mild_shift,0,3,2,1,1,7,seed_100_base_1_regime_herding_enabled_policy_frozen_ml_epsilon_010,1,0,1,0,3636ee12b35a57bbe8811b59ccf2c37a2bfec25ced6170ee3f51615da6f64f83,seed_100_base_1_regime_herding_enabled,0,0,4,5,night,frozen_ml_epsilon_010,2,4,100,1,1,1,1,1,2,villager,epsilon_exploration,2,4,4,0.0010917909832138806,4,0,2,wolf,0,0,0,4,1,1
