policy_name,decision_states,mean_full_rollout_value,mean_existing_rule_value,mean_improvement_over_existing,mean_regret_to_best,agreement_with_existing_rate,agreement_with_full_best_rate
existing_rule,105,0.7061224489795918,0.7061224489795918,0.0,0.13333333333333333,1.0,0.3142857142857143
frozen_ml,105,0.672108843537415,0.7061224489795918,-0.03401360544217687,0.1673469387755102,0.21904761904761905,0.1619047619047619
frozen_hybrid_50_50,105,0.6639455782312924,0.7061224489795918,-0.042176870748299324,0.17551020408163265,0.26666666666666666,0.1523809523809524
frozen_ml_epsilon_010,105,0.6748299319727892,0.7061224489795918,-0.03129251700680272,0.16462585034013605,0.24761904761904763,0.2
