avg_fraction_outside_training_minmax,avg_max_abs_z,avg_prediction_extremity,avg_standardized_feature_distance,distribution_shift_category,rows,wolf_win_rate
0.0012350035285815103,1.5335310092626353,0.20617155024401634,0.3726982942191384,in_distribution,3815,0.634862385321101
0.12590829366073666,2.214225800989645,0.19352941641412785,0.6519940212076031,mild_shift,3684,0.6058631921824105
0.30837981957005356,3.842328131014736,0.14835571779930792,1.3228401545122896,strong_shift,6881,0.5743351257084726
0.0011847527472527474,1.329544056372242,0.20961371195877884,0.3185621460010486,existing_rule:in_distribution,1120,0.7125
0.12708354902163785,2.5735074630767794,0.18786023886101808,0.7617987240371563,existing_rule:mild_shift,743,0.6379542395693136
0.3164860543613431,3.815374270631241,0.13989073512504976,1.313545069529967,existing_rule:strong_shift,1732,0.6587759815242494
0.0011847527472527474,1.329544056372242,0.20961371195877884,0.3185621460010486,frozen_hybrid_50_50:in_distribution,1120,0.5848214285714286
0.1277600903769128,2.5824540333091828,0.18897741889720318,0.7646845637737749,frozen_hybrid_50_50:mild_shift,749,0.5527369826435247
0.31971432391478743,3.9033800305302937,0.1457703521454162,1.3451019164906188,frozen_hybrid_50_50:strong_shift,1726,0.5382387022016223
0.0011847527472527474,1.329544056372242,0.20961371195877884,0.3185621460010486,frozen_ml:in_distribution,1120,0.6276785714285714
0.1260683760683761,2.563469219005635,0.18801193169903732,0.757486431996098,frozen_ml:mild_shift,738,0.5609756097560976
0.3193989554749049,3.8954539609302774,0.15182683897561147,1.3402354416864701,frozen_ml:strong_shift,1738,0.5661680092059839
0.0011847527472527474,1.329544056372242,0.20961371195877884,0.3185621460010486,frozen_ml_epsilon_010:in_distribution,1120,0.6276785714285714
0.1264663137132773,2.563136162194434,0.18867678802693472,0.7584418612949803,frozen_ml_epsilon_010:mild_shift,741,0.5573549257759784
0.31924408540103866,3.887519733869177,0.1522337691422394,1.3348320216333116,frozen_ml_epsilon_010:strong_shift,1733,0.5643392960184651
