agrees_with_existing,agrees_with_full_best,base_game_index,behavioral_regime_id,best_full_rollout_value,decision_id,distribution_shift_category,existing_rule_candidate_uid,existing_rule_full_rollout_value,full_rollout_best_candidate_uid,game_id,improvement_over_existing,ml_prediction_margin,policy_name,regret_to_best,seed,selected_candidate_uid,selected_full_rollout_value
0,1,1,seat_order_neutral_policy,0.7142857142857143,bdeba9af349a05536459d108793f53372cf9d06c750dce53ea8f85bdb6836a83,in_distribution,8,0.42857142857142855,4,seat_order_neutral_policy_seed_64_game_1_wolf_kill,0.28571428571428575,0.027438207544515203,frozen_ml,0.0,64,4,0.7142857142857143
0,1,1,seat_order_neutral_policy,0.7142857142857143,bdeba9af349a05536459d108793f53372cf9d06c750dce53ea8f85bdb6836a83,in_distribution,8,0.42857142857142855,4,seat_order_neutral_policy_seed_64_game_1_wolf_kill,0.28571428571428575,0.027438207544515203,frozen_hybrid_50_50,0.0,64,4,0.7142857142857143
0,1,1,seat_order_neutral_policy,0.7142857142857143,bdeba9af349a05536459d108793f53372cf9d06c750dce53ea8f85bdb6836a83,in_distribution,8,0.42857142857142855,4,seat_order_neutral_policy_seed_64_game_1_wolf_kill,0.28571428571428575,0.027438207544515203,frozen_ml_epsilon_010,0.0,64,4,0.7142857142857143
1,0,2,seat_order_neutral_policy,0.5714285714285714,8ef482af0fc3a4e2fe833d5ebc75da5571f9603198dafd81c153f06d5d042c62,in_distribution,9,0.42857142857142855,2,seat_order_neutral_policy_seed_64_game_2_wolf_kill,0.0,0.03199120804944178,existing_rule,0.14285714285714285,64,9,0.42857142857142855
1,0,2,seat_order_neutral_policy,0.5714285714285714,8ef482af0fc3a4e2fe833d5ebc75da5571f9603198dafd81c153f06d5d042c62,in_distribution,9,0.42857142857142855,2,seat_order_neutral_policy_seed_64_game_2_wolf_kill,0.0,0.03199120804944178,frozen_ml,0.14285714285714285,64,9,0.42857142857142855
1,0,2,seat_order_neutral_policy,0.5714285714285714,8ef482af0fc3a4e2fe833d5ebc75da5571f9603198dafd81c153f06d5d042c62,in_distribution,9,0.42857142857142855,2,seat_order_neutral_policy_seed_64_game_2_wolf_kill,0.0,0.03199120804944178,frozen_hybrid_50_50,0.14285714285714285,64,9,0.42857142857142855
1,0,2,seat_order_neutral_policy,0.5714285714285714,8ef482af0fc3a4e2fe833d5ebc75da5571f9603198dafd81c153f06d5d042c62,in_distribution,9,0.42857142857142855,2,seat_order_neutral_policy_seed_64_game_2_wolf_kill,0.0,0.03199120804944178,frozen_ml_epsilon_010,0.14285714285714285,64,9,0.42857142857142855
1,0,3,seat_order_neutral_policy,0.7142857142857143,089ef123dde6595f6b50371589f5f3c6dcc62a4ef0e33340ed611b268b17b07c,mild_shift,3,0.5714285714285714,1,seat_order_neutral_policy_seed_64_game_3_wolf_kill,0.0,0.0165456928072103,existing_rule,0.1428571428571429,64,3,0.5714285714285714
1,0,3,seat_order_neutral_policy,0.7142857142857143,089ef123dde6595f6b50371589f5f3c6dcc62a4ef0e33340ed611b268b17b07c,mild_shift,3,0.5714285714285714,1,seat_order_neutral_policy_seed_64_game_3_wolf_kill,0.0,0.0165456928072103,frozen_ml,0.1428571428571429,64,3,0.5714285714285714
1,0,3,seat_order_neutral_policy,0.7142857142857143,089ef123dde6595f6b50371589f5f3c6dcc62a4ef0e33340ed611b268b17b07c,mild_shift,3,0.5714285714285714,1,seat_order_neutral_policy_seed_64_game_3_wolf_kill,0.0,0.0165456928072103,frozen_hybrid_50_50,0.1428571428571429,64,3,0.5714285714285714
1,0,3,seat_order_neutral_policy,0.7142857142857143,089ef123dde6595f6b50371589f5f3c6dcc62a4ef0e33340ed611b268b17b07c,mild_shift,3,0.5714285714285714,1,seat_order_neutral_policy_seed_64_game_3_wolf_kill,0.0,0.0165456928072103,frozen_ml_epsilon_010,0.1428571428571429,64,3,0.5714285714285714
1,1,1,speech_and_herding_policy,1.0,1a5c3856c6b0a0df12202c0406c3c4dbc2eb968212294463289a35fde6f4eef9,in_distribution,2,1.0,2,speech_and_herding_policy_seed_60_game_1_wolf_kill,0.0,0.011058636367307195,existing_rule,0.0,60,2,1.0
0,0,1,speech_and_herding_policy,1.0,1a5c3856c6b0a0df12202c0406c3c4dbc2eb968212294463289a35fde6f4eef9,in_distribution,2,1.0,2,speech_and_herding_policy_seed_60_game_1_wolf_kill,-0.1428571428571429,0.011058636367307195,frozen_ml,0.1428571428571429,60,7,0.8571428571428571
0,0,1,speech_and_herding_policy,1.0,1a5c3856c6b0a0df12202c0406c3c4dbc2eb968212294463289a35fde6f4eef9,in_distribution,2,1.0,2,speech_and_herding_policy_seed_60_game_1_wolf_kill,-0.1428571428571429,0.011058636367307195,frozen_hybrid_50_50,0.1428571428571429,60,7,0.8571428571428571
0,0,1,speech_and_herding_policy,1.0,1a5c3856c6b0a0df12202c0406c3c4dbc2eb968212294463289a35fde6f4eef9,in_distribution,2,1.0,2,speech_and_herding_policy_seed_60_game_1_wolf_kill,-0.1428571428571429,0.011058636367307195,frozen_ml_epsilon_010,0.1428571428571429,60,7,0.8571428571428571
1,0,2,speech_and_herding_policy,0.8571428571428571,49309ce8506240aa559a0a09b0a65dd9b5bc7104902b99b342edaeb738631988,in_distribution,7,0.7142857142857143,5,speech_and_herding_policy_seed_60_game_2_wolf_kill,0.0,0.01722328911269766,existing_rule,0.1428571428571428,60,7,0.7142857142857143
1,0,2,speech_and_herding_policy,0.8571428571428571,49309ce8506240aa559a0a09b0a65dd9b5bc7104902b99b342edaeb738631988,in_distribution,7,0.7142857142857143,5,speech_and_herding_policy_seed_60_game_2_wolf_kill,0.0,0.01722328911269766,frozen_ml,0.1428571428571428,60,7,0.7142857142857143
1,0,2,speech_and_herding_policy,0.8571428571428571,49309ce8506240aa559a0a09b0a65dd9b5bc7104902b99b342edaeb738631988,in_distribution,7,0.7142857142857143,5,speech_and_herding_policy_seed_60_game_2_wolf_kill,0.0,0.01722328911269766,frozen_hybrid_50_50,0.1428571428571428,60,7,0.7142857142857143
1,0,2,speech_and_herding_policy,0.8571428571428571,49309ce8506240aa559a0a09b0a65dd9b5bc7104902b99b342edaeb738631988,in_distribution,7,0.7142857142857143,5,speech_and_herding_policy_seed_60_game_2_wolf_kill,0.0,0.01722328911269766,frozen_ml_epsilon_010,0.1428571428571428,60,7,0.7142857142857143
1,0,3,speech_and_herding_policy,0.8571428571428571,64791f3f30715b376dca0fbd492e59a3025adc820b7fc615c7a1a106aedecbcc,in_distribution,3,0.8571428571428571,10,speech_and_herding_policy_seed_60_game_3_wolf_kill,0.0,0.0021547735121989486,existing_rule,0.0,60,3,0.8571428571428571
0,0,3,speech_and_herding_policy,0.8571428571428571,64791f3f30715b376dca0fbd492e59a3025adc820b7fc615c7a1a106aedecbcc,in_distribution,3,0.8571428571428571,10,speech_and_herding_policy_seed_60_game_3_wolf_kill,-0.1428571428571428,0.0021547735121989486,frozen_ml,0.1428571428571428,60,8,0.7142857142857143
0,0,3,speech_and_herding_policy,0.8571428571428571,64791f3f30715b376dca0fbd492e59a3025adc820b7fc615c7a1a106aedecbcc,mild_shift,3,0.8571428571428571,10,speech_and_herding_policy_seed_60_game_3_wolf_kill,0.0,0.0021547735121989486,frozen_hybrid_50_50,0.0,60,9,0.8571428571428571
0,0,3,speech_and_herding_policy,0.8571428571428571,64791f3f30715b376dca0fbd492e59a3025adc820b7fc615c7a1a106aedecbcc,in_distribution,3,0.8571428571428571,10,speech_and_herding_policy_seed_60_game_3_wolf_kill,-0.1428571428571428,0.0021547735121989486,frozen_ml_epsilon_010,0.1428571428571428,60,8,0.7142857142857143
1,1,1,speech_and_herding_policy,0.8571428571428571,e6e86d6e67e4b609c394a3b3db9ea653390b49b79ae6ca6e238b05d275cb83e5,in_distribution,4,0.8571428571428571,4,speech_and_herding_policy_seed_61_game_1_wolf_kill,0.0,0.010385409990312566,existing_rule,0.0,61,4,0.8571428571428571
