ablation,diagnostic_only,feature_count,final_test_mae,final_test_rmse
full_feature_set,1,52,0.14766771976357287,0.17783202506635964
remove_physical_position_features,1,48,0.14709780534193623,0.17595855866069082
remove_identifier_like_features,1,22,0.14746375253977886,0.17599837218998549
remove_role_probability_features,1,49,0.14758842063505329,0.1777095921739506
remove_influence_features,1,44,0.14766771976357287,0.17783202506635964
remove_suspicion_features,1,50,0.14761727844553552,0.1777183990570432
remove_trust_features,1,50,0.14766771976357287,0.17783202506635964
