correlation_with_later_suspicion_change,dataset_split,mean_score_when_target_eliminated,mean_score_when_target_not_eliminated,n_rows,score_name,target_elimination_rate
0.08073269007194941,train,0.5141854667682729,0.5124244974149593,16251,bow_werewolf_leaning_score,0.1653436711586979
0.01832177764484968,train,0.08157976234781221,0.09023532910411781,16251,bow_emotional_intensity_score,0.1653436711586979
-0.04539164820558344,train,0.3800745062942681,0.3928524707091133,16251,bow_information_density_score,0.1653436711586979
0.07625302829473296,validation,0.5136698317507912,0.5125932545413698,4129,bow_werewolf_leaning_score,0.16154032453378542
0.028400149980846393,validation,0.08196360153256706,0.09017090313884076,4129,bow_emotional_intensity_score,0.16154032453378542
-0.010206656480994933,validation,0.3833781918564527,0.39032641238663773,4129,bow_information_density_score,0.16154032453378542
0.06302579812638301,final_test,0.5134341222066956,0.5128183380066305,8190,bow_werewolf_leaning_score,0.16227106227106228
0.007649350086645514,final_test,0.08165079663668828,0.09044936817947313,8190,bow_emotional_intensity_score,0.16227106227106228
-0.0402348649640807,final_test,0.37749481947281044,0.39234053819263703,8190,bow_information_density_score,0.16227106227106228
0.03859704072107313,ood_template,0.5113271344040574,0.5046074836245558,2044,bow_werewolf_leaning_score,0.16536203522504891
0.11063655735758385,ood_template,0.08813398140321217,0.06718578453264855,2044,bow_emotional_intensity_score,0.16536203522504891
-0.08085992585806395,ood_template,0.32038091715976336,0.3281171611864754,2044,bow_information_density_score,0.16536203522504891
0.09254226067439647,ood_regime,0.5209852380952381,0.5142519085193739,2107,bow_werewolf_leaning_score,0.1779781680113906
0.024725731489568362,ood_regime,0.09290682539682539,0.08975311824113788,2107,bow_emotional_intensity_score,0.1779781680113906
-0.04911006917032464,ood_regime,0.3764690476190476,0.3800147778510943,2107,bow_information_density_score,0.1779781680113906
