ablation_name,brier_score,calibration_intercept,calibration_slope,dataset_split,log_loss,n_rows,pr_auc,roc_auc
bow_only_unigram_bigram,0.1245117363216595,0.40542608053148144,0.19174564246520234,validation,0.40541877917001357,4129,0.7407110588868872,0.7717171514804013
bow_only_unigram_bigram,0.12782921889385102,0.40967114125840626,0.1894522029070033,final_test,0.41281367848442246,8190,0.7287304901446451,0.7547214900175566
bow_only_unigram_bigram,0.2553684883438669,0.2660615745824785,-0.07255455183077329,ood_template,0.7131598568746982,2044,0.28516863742252957,0.42909594746767604
bow_only_unigram_bigram,0.10153492764103193,0.3842679067123166,0.1992416732669678,ood_regime,0.3520716478788545,2107,0.8583218432586984,0.8394454030334015
remove_direct_role_words,0.12443575709978917,0.40362631455431663,0.1898533518537914,validation,0.404954312021093,4129,0.7400832419680952,0.771259181964297
remove_direct_role_words,0.12775229701842417,0.4079852263939712,0.187699940890873,final_test,0.41235683631599696,8190,0.7291479016741667,0.7551878213815656
remove_direct_role_words,0.2573614852456824,0.26185256181630023,-0.08321015329440981,ood_template,0.7177161061797461,2044,0.27939791647518214,0.4227182176274528
remove_direct_role_words,0.10093432820956723,0.38079532083734413,0.19708580022259445,ood_regime,0.34940321729612456,2107,0.8595731474324397,0.8410366607021131
remove_player_placeholders,0.12435654244666641,0.3991597285646057,0.1856815581420894,validation,0.40435656169213663,4129,0.7404249084353121,0.7705684183318735
remove_player_placeholders,0.1276732383544214,0.40344293951523635,0.1834566779565903,final_test,0.4117486553032155,8190,0.7289533368833783,0.7551699100660815
remove_player_placeholders,0.262933287860563,0.2580165808948062,-0.07752138456905466,ood_template,0.7364837579309594,2044,0.2839270767965018,0.42621743298917786
remove_player_placeholders,0.10209684110002318,0.37790858362627816,0.19297696646974205,ood_regime,0.35229299629015054,2107,0.8047846912074815,0.7916213999659168
remove_emotional_punctuation,0.12451096242935215,0.4053684712750985,0.1917169405222549,validation,0.4054142257835249,4129,0.7407101737284626,0.7716807509458495
remove_emotional_punctuation,0.12782557850825632,0.40961868483590014,0.18942656273661776,final_test,0.4128011387101409,8190,0.7296600247572462,0.7556259052559374
remove_emotional_punctuation,0.2558764505221402,0.26546976108247794,-0.07511751109074641,ood_template,0.7143664012593337,2044,0.28516863742252957,0.42909594746767604
remove_emotional_punctuation,0.10151331180434174,0.384202455355558,0.19923309507695727,ood_regime,0.35201222610225297,2107,0.85802157170796,0.8391471753578732
remove_explicit_accusation_verbs,0.1244137619730576,0.4024386791132143,0.18859986704788217,validation,0.404825018304302,4129,0.7407978871122748,0.7718571101248792
remove_explicit_accusation_verbs,0.12777098597245584,0.4065863626064793,0.1861413678879977,final_test,0.41231491615800575,8190,0.7286984432963428,0.7547245342332318
remove_explicit_accusation_verbs,0.2464621811523863,0.29372005554530634,-0.022351918974814304,ood_template,0.6915321366589648,2044,0.29751497920678815,0.4841291645750517
remove_explicit_accusation_verbs,0.1027716266138275,0.3846954171960693,0.1908836345537163,ood_regime,0.35686513641319934,2107,0.8589841471026745,0.8424148986025903
remove_deception_specific_terms,0.12450194388009224,0.40546123804173834,0.19140614179515628,validation,0.4053187161779606,4129,0.7407075212796802,0.7717103792879265
remove_deception_specific_terms,0.12781935793553578,0.40972070682963985,0.1890970681221803,final_test,0.4127055833927315,8190,0.728727251500713,0.754714976811926
remove_deception_specific_terms,0.2646744943446663,0.27602395627894893,-0.06071394359049177,ood_template,0.7458285689527956,2044,0.28649760557685827,0.4329501720777312
remove_deception_specific_terms,0.10125948230815586,0.3842965909680698,0.19936181858838656,ood_regime,0.3511241998238434,2107,0.8595015794020792,0.8438389357532379
unigram_only,0.12423694358689573,0.3934264379822614,0.17926873141579897,validation,0.40332472406686665,4129,0.7405695437836677,0.7712955824988488
unigram_only,0.12752080769573207,0.39804223228784963,0.17713918885072039,final_test,0.4105833793930152,8190,0.7299177414749567,0.7561226079809849
unigram_only,0.2538307804836578,0.277617886930648,-0.04830060121665821,ood_template,0.7107245196756831,2044,0.28924694935437595,0.4484032498044057
unigram_only,0.10261406019305304,0.3743046417464458,0.1792395856236863,ood_regime,0.35758369052333866,2107,0.863890444775315,0.8417417561349694
core_lexicon_only,0.12452007432060663,0.37639412036676156,0.16388155071774502,validation,0.4021355334424916,4129,0.7367308104796455,0.765452873441267
core_lexicon_only,0.12727047290618831,0.3819681264868289,0.16240596614645655,final_test,0.40798442649160904,8190,0.7337774534437066,0.7627231047261873
core_lexicon_only,0.28376874022783327,0.29022214387849504,-0.03665932533921738,ood_template,0.8031096934363451,2044,0.28947265881583656,0.42743735330429944
core_lexicon_only,0.10317711903695921,0.3446722227363865,0.16968953336692805,ood_regime,0.35281175101729884,2107,0.8404074738829302,0.8295069657464212
data_derived_vocabulary_only,0.1245117363216595,0.40542608053148144,0.19174564246520234,validation,0.40541877917001357,4129,0.7407110588868872,0.7717171514804013
