alive_villagers,alive_wolves,behavioral_regime_id,branch_policy,continuation_policy_id,distribution_shift_category,forced_candidate_player_id,forced_candidate_role,forced_candidate_uid,hunter_retaliation_occurred,ml_advantage_over_existing,rollout_index,rollout_seed,round,seed,source_decision_id,source_game_id,target_is_special,target_role,top_two_predicted_value_margin,total_rounds,village_win,winner,witch_save_occurred,wolf_team_win,wolf_win
5,0,mixed_seer_strategy,frozen_ml_forced_once,stage2b_existing_rule_after_forced_action,strong_shift,8,,8,1,0.0,0,3015162716,2,230,stage2b_seed_230_base_1_regime_mixed_seer_strategy_policy_existing_with_ml_shadow_round_2_decision_2,stage2b_seed_230_base_1_regime_mixed_seer_strategy_policy_existing_with_ml_shadow,0,villager,0.010551531620314858,2,1,village,1,0,0
5,0,mixed_seer_strategy,frozen_ml_forced_once,stage2b_existing_rule_after_forced_action,strong_shift,8,,8,1,0.0,1,3464609596,2,230,stage2b_seed_230_base_1_regime_mixed_seer_strategy_policy_existing_with_ml_shadow_round_2_decision_2,stage2b_seed_230_base_1_regime_mixed_seer_strategy_policy_existing_with_ml_shadow,0,villager,0.010551531620314858,2,1,village,1,0,0
1,1,baseline_speech_enabled,existing_rule_forced_once,stage2b_existing_rule_after_forced_action,strong_shift,5,,5,1,0.0,0,1241517618,4,239,stage2b_seed_239_base_1_regime_baseline_speech_enabled_policy_existing_with_ml_shadow_round_4_decision_4,stage2b_seed_239_base_1_regime_baseline_speech_enabled_policy_existing_with_ml_shadow,1,hunter,0.013091367587329428,4,0,wolf,1,1,1
1,1,baseline_speech_enabled,existing_rule_forced_once,stage2b_existing_rule_after_forced_action,strong_shift,5,,5,1,0.0,1,1783863931,4,239,stage2b_seed_239_base_1_regime_baseline_speech_enabled_policy_existing_with_ml_shadow_round_4_decision_4,stage2b_seed_239_base_1_regime_baseline_speech_enabled_policy_existing_with_ml_shadow,1,hunter,0.013091367587329428,4,0,wolf,1,1,1
2,0,baseline_speech_enabled,frozen_ml_forced_once,stage2b_existing_rule_after_forced_action,strong_shift,8,,8,0,0.0,0,506880716,4,239,stage2b_seed_239_base_1_regime_baseline_speech_enabled_policy_existing_with_ml_shadow_round_4_decision_4,stage2b_seed_239_base_1_regime_baseline_speech_enabled_policy_existing_with_ml_shadow,0,villager,0.013091367587329428,4,1,village,1,0,0
1,1,baseline_speech_enabled,frozen_ml_forced_once,stage2b_existing_rule_after_forced_action,strong_shift,8,,8,0,0.0,1,878468066,4,239,stage2b_seed_239_base_1_regime_baseline_speech_enabled_policy_existing_with_ml_shadow_round_4_decision_4,stage2b_seed_239_base_1_regime_baseline_speech_enabled_policy_existing_with_ml_shadow,0,villager,0.013091367587329428,4,0,wolf,1,1,1
2,2,baseline_speech_enabled,existing_rule_forced_once,stage2b_existing_rule_after_forced_action,strong_shift,1,,1,1,0.0,0,3916081642,3,233,stage2b_seed_233_base_1_regime_baseline_speech_enabled_policy_existing_with_ml_shadow_round_3_decision_3,stage2b_seed_233_base_1_regime_baseline_speech_enabled_policy_existing_with_ml_shadow,1,witch,0.0047422521240781945,3,0,wolf,1,1,1
2,2,baseline_speech_enabled,existing_rule_forced_once,stage2b_existing_rule_after_forced_action,strong_shift,1,,1,1,0.0,1,1662191900,3,233,stage2b_seed_233_base_1_regime_baseline_speech_enabled_policy_existing_with_ml_shadow_round_3_decision_3,stage2b_seed_233_base_1_regime_baseline_speech_enabled_policy_existing_with_ml_shadow,1,witch,0.0047422521240781945,3,0,wolf,1,1,1
2,2,baseline_speech_enabled,frozen_ml_forced_once,stage2b_existing_rule_after_forced_action,strong_shift,10,,10,1,0.0,0,2515137432,3,233,stage2b_seed_233_base_1_regime_baseline_speech_enabled_policy_existing_with_ml_shadow_round_3_decision_3,stage2b_seed_233_base_1_regime_baseline_speech_enabled_policy_existing_with_ml_shadow,0,villager,0.0047422521240781945,3,0,wolf,1,1,1
2,2,baseline_speech_enabled,frozen_ml_forced_once,stage2b_existing_rule_after_forced_action,strong_shift,10,,10,1,0.0,1,3536784061,3,233,stage2b_seed_233_base_1_regime_baseline_speech_enabled_policy_existing_with_ml_shadow_round_3_decision_3,stage2b_seed_233_base_1_regime_baseline_speech_enabled_policy_existing_with_ml_shadow,0,villager,0.0047422521240781945,3,0,wolf,1,1,1
2,2,mixed_seer_strategy,existing_rule_forced_once,stage2b_existing_rule_after_forced_action,mild_shift,4,,4,0,0.0,0,4011686375,2,224,stage2b_seed_224_base_1_regime_mixed_seer_strategy_policy_existing_with_ml_shadow_round_2_decision_2,stage2b_seed_224_base_1_regime_mixed_seer_strategy_policy_existing_with_ml_shadow,1,seer,0.002402596921220468,3,0,wolf,1,1,1
2,0,mixed_seer_strategy,existing_rule_forced_once,stage2b_existing_rule_after_forced_action,mild_shift,4,,4,1,0.0,1,1810712482,2,224,stage2b_seed_224_base_1_regime_mixed_seer_strategy_policy_existing_with_ml_shadow_round_2_decision_2,stage2b_seed_224_base_1_regime_mixed_seer_strategy_policy_existing_with_ml_shadow,1,seer,0.002402596921220468,4,1,village,1,0,0
3,3,mixed_seer_strategy,frozen_ml_forced_once,stage2b_existing_rule_after_forced_action,mild_shift,5,,5,0,0.0,0,3968246378,2,224,stage2b_seed_224_base_1_regime_mixed_seer_strategy_policy_existing_with_ml_shadow_round_2_decision_2,stage2b_seed_224_base_1_regime_mixed_seer_strategy_policy_existing_with_ml_shadow,1,witch,0.002402596921220468,3,0,wolf,1,1,1
3,3,mixed_seer_strategy,frozen_ml_forced_once,stage2b_existing_rule_after_forced_action,mild_shift,5,,5,0,0.0,1,4048154218,2,224,stage2b_seed_224_base_1_regime_mixed_seer_strategy_policy_existing_with_ml_shadow_round_2_decision_2,stage2b_seed_224_base_1_regime_mixed_seer_strategy_policy_existing_with_ml_shadow,1,witch,0.002402596921220468,3,0,wolf,1,1,1
1,1,deception_enabled,existing_rule_forced_once,stage2b_existing_rule_after_forced_action,strong_shift,1,,1,1,0.0,0,814291146,4,239,stage2b_seed_239_base_1_regime_deception_enabled_policy_existing_with_ml_shadow_round_4_decision_4,stage2b_seed_239_base_1_regime_deception_enabled_policy_existing_with_ml_shadow,1,hunter,0.012174939128478224,4,0,wolf,1,1,1
1,1,deception_enabled,existing_rule_forced_once,stage2b_existing_rule_after_forced_action,strong_shift,1,,1,1,0.0,1,3643715851,4,239,stage2b_seed_239_base_1_regime_deception_enabled_policy_existing_with_ml_shadow_round_4_decision_4,stage2b_seed_239_base_1_regime_deception_enabled_policy_existing_with_ml_shadow,1,hunter,0.012174939128478224,4,0,wolf,1,1,1
1,1,deception_enabled,frozen_ml_forced_once,stage2b_existing_rule_after_forced_action,strong_shift,10,,10,0,0.0,0,17709476,4,239,stage2b_seed_239_base_1_regime_deception_enabled_policy_existing_with_ml_shadow_round_4_decision_4,stage2b_seed_239_base_1_regime_deception_enabled_policy_existing_with_ml_shadow,0,villager,0.012174939128478224,4,0,wolf,1,1,1
1,1,deception_enabled,frozen_ml_forced_once,stage2b_existing_rule_after_forced_action,strong_shift,10,,10,0,0.0,1,3376145935,4,239,stage2b_seed_239_base_1_regime_deception_enabled_policy_existing_with_ml_shadow_round_4_decision_4,stage2b_seed_239_base_1_regime_deception_enabled_policy_existing_with_ml_shadow,0,villager,0.012174939128478224,4,0,wolf,1,1,1
3,3,weak_village_information,existing_rule_forced_once,stage2b_existing_rule_after_forced_action,in_distribution,8,,8,0,0.0,0,144945082,1,234,stage2b_seed_234_base_1_regime_weak_village_information_policy_existing_with_ml_shadow_round_1_decision_1,stage2b_seed_234_base_1_regime_weak_village_information_policy_existing_with_ml_shadow,1,seer,0.019289272845420813,2,0,wolf,0,1,1
3,3,weak_village_information,existing_rule_forced_once,stage2b_existing_rule_after_forced_action,in_distribution,8,,8,0,0.0,1,4153417318,1,234,stage2b_seed_234_base_1_regime_weak_village_information_policy_existing_with_ml_shadow_round_1_decision_1,stage2b_seed_234_base_1_regime_weak_village_information_policy_existing_with_ml_shadow,1,seer,0.019289272845420813,2,0,wolf,1,1,1
2,0,weak_village_information,frozen_ml_forced_once,stage2b_existing_rule_after_forced_action,in_distribution,7,,7,1,0.0,0,97786729,1,234,stage2b_seed_234_base_1_regime_weak_village_information_policy_existing_with_ml_shadow_round_1_decision_1,stage2b_seed_234_base_1_regime_weak_village_information_policy_existing_with_ml_shadow,0,villager,0.019289272845420813,4,1,village,1,0,0
3,3,weak_village_information,frozen_ml_forced_once,stage2b_existing_rule_after_forced_action,in_distribution,7,,7,0,0.0,1,1028228504,1,234,stage2b_seed_234_base_1_regime_weak_village_information_policy_existing_with_ml_shadow_round_1_decision_1,stage2b_seed_234_base_1_regime_weak_village_information_policy_existing_with_ml_shadow,0,villager,0.019289272845420813,3,0,wolf,1,1,1
1,1,weak_village_information,existing_rule_forced_once,stage2b_existing_rule_after_forced_action,strong_shift,5,,5,1,0.0,0,2227852677,2,229,stage2b_seed_229_base_1_regime_weak_village_information_policy_existing_with_ml_shadow_round_2_decision_2,stage2b_seed_229_base_1_regime_weak_village_information_policy_existing_with_ml_shadow,1,witch,0.010551531620314858,4,0,wolf,0,1,1
2,0,weak_village_information,existing_rule_forced_once,stage2b_existing_rule_after_forced_action,strong_shift,5,,5,1,0.0,1,3214115323,2,229,stage2b_seed_229_base_1_regime_weak_village_information_policy_existing_with_ml_shadow_round_2_decision_2,stage2b_seed_229_base_1_regime_weak_village_information_policy_existing_with_ml_shadow,1,witch,0.010551531620314858,4,1,village,1,0,0
1,1,weak_village_information,frozen_ml_forced_once,stage2b_existing_rule_after_forced_action,strong_shift,8,,8,1,0.0,0,3554473196,2,229,stage2b_seed_229_base_1_regime_weak_village_information_policy_existing_with_ml_shadow_round_2_decision_2,stage2b_seed_229_base_1_regime_weak_village_information_policy_existing_with_ml_shadow,0,villager,0.010551531620314858,4,0,wolf,0,1,1
1,1,weak_village_information,frozen_ml_forced_once,stage2b_existing_rule_after_forced_action,strong_shift,8,,8,1,0.0,1,671586133,2,229,stage2b_seed_229_base_1_regime_weak_village_information_policy_existing_with_ml_shadow_round_2_decision_2,stage2b_seed_229_base_1_regime_weak_village_information_policy_existing_with_ml_shadow,0,villager,0.010551531620314858,4,0,wolf,0,1,1
3,3,mixed_wolf_deception_strategy,existing_rule_forced_once,stage2b_existing_rule_after_forced_action,strong_shift,1,,1,0,0.0,0,105293667,3,225,stage2b_seed_225_base_1_regime_mixed_wolf_deception_strategy_policy_existing_with_ml_shadow_round_3_decision_3,stage2b_seed_225_base_1_regime_mixed_wolf_deception_strategy_policy_existing_with_ml_shadow,1,hunter,0.006523542492652634,3,0,wolf,1,1,1
3,3,mixed_wolf_deception_strategy,existing_rule_forced_once,stage2b_existing_rule_after_forced_action,strong_shift,1,,1,0,0.0,1,3822678309,3,225,stage2b_seed_225_base_1_regime_mixed_wolf_deception_strategy_policy_existing_with_ml_shadow_round_3_decision_3,stage2b_seed_225_base_1_regime_mixed_wolf_deception_strategy_policy_existing_with_ml_shadow,1,hunter,0.006523542492652634,3,0,wolf,1,1,1
3,3,mixed_wolf_deception_strategy,frozen_ml_forced_once,stage2b_existing_rule_after_forced_action,strong_shift,6,,6,0,0.0,0,3396515907,3,225,stage2b_seed_225_base_1_regime_mixed_wolf_deception_strategy_policy_existing_with_ml_shadow_round_3_decision_3,stage2b_seed_225_base_1_regime_mixed_wolf_deception_strategy_policy_existing_with_ml_shadow,0,villager,0.006523542492652634,3,0,wolf,1,1,1
3,3,mixed_wolf_deception_strategy,frozen_ml_forced_once,stage2b_existing_rule_after_forced_action,strong_shift,6,,6,0,0.0,1,1217606711,3,225,stage2b_seed_225_base_1_regime_mixed_wolf_deception_strategy_policy_existing_with_ml_shadow_round_3_decision_3,stage2b_seed_225_base_1_regime_mixed_wolf_deception_strategy_policy_existing_with_ml_shadow,0,villager,0.006523542492652634,3,0,wolf,1,1,1
1,1,weak_village_information,existing_rule_forced_once,stage2b_existing_rule_after_forced_action,in_distribution,9,,9,1,0.0,0,3845897599,1,227,stage2b_seed_227_base_1_regime_weak_village_information_policy_existing_with_ml_shadow_round_1_decision_1,stage2b_seed_227_base_1_regime_weak_village_information_policy_existing_with_ml_shadow,1,seer,0.0003366131884973145,4,0,wolf,0,1,1
1,1,weak_village_information,existing_rule_forced_once,stage2b_existing_rule_after_forced_action,in_distribution,9,,9,1,0.0,1,3713752544,1,227,stage2b_seed_227_base_1_regime_weak_village_information_policy_existing_with_ml_shadow_round_1_decision_1,stage2b_seed_227_base_1_regime_weak_village_information_policy_existing_with_ml_shadow,1,seer,0.0003366131884973145,4,0,wolf,1,1,1
3,3,weak_village_information,frozen_ml_forced_once,stage2b_existing_rule_after_forced_action,in_distribution,7,,7,0,0.0,0,1380612170,1,227,stage2b_seed_227_base_1_regime_weak_village_information_policy_existing_with_ml_shadow_round_1_decision_1,stage2b_seed_227_base_1_regime_weak_village_information_policy_existing_with_ml_shadow,0,villager,0.0003366131884973145,2,0,wolf,0,1,1
2,2,weak_village_information,frozen_ml_forced_once,stage2b_existing_rule_after_forced_action,in_distribution,7,,7,1,0.0,1,3515821732,1,227,stage2b_seed_227_base_1_regime_weak_village_information_policy_existing_with_ml_shadow_round_1_decision_1,stage2b_seed_227_base_1_regime_weak_village_information_policy_existing_with_ml_shadow,0,villager,0.0003366131884973145,3,0,wolf,0,1,1
1,1,weak_village_information,existing_rule_forced_once,stage2b_existing_rule_after_forced_action,strong_shift,10,,10,1,0.0,0,2289023521,3,234,stage2b_seed_234_base_1_regime_weak_village_information_policy_existing_with_ml_shadow_round_3_decision_3,stage2b_seed_234_base_1_regime_weak_village_information_policy_existing_with_ml_shadow,1,witch,0.012617794059400222,4,0,wolf,1,1,1
3,0,weak_village_information,existing_rule_forced_once,stage2b_existing_rule_after_forced_action,strong_shift,10,,10,1,0.0,1,1297131190,3,234,stage2b_seed_234_base_1_regime_weak_village_information_policy_existing_with_ml_shadow_round_3_decision_3,stage2b_seed_234_base_1_regime_weak_village_information_policy_existing_with_ml_shadow,1,witch,0.012617794059400222,3,1,village,1,0,0
4,0,weak_village_information,frozen_ml_forced_once,stage2b_existing_rule_after_forced_action,strong_shift,7,,7,0,0.0,0,322743350,3,234,stage2b_seed_234_base_1_regime_weak_village_information_policy_existing_with_ml_shadow_round_3_decision_3,stage2b_seed_234_base_1_regime_weak_village_information_policy_existing_with_ml_shadow,0,villager,0.012617794059400222,3,1,village,1,0,0
1,1,weak_village_information,frozen_ml_forced_once,stage2b_existing_rule_after_forced_action,strong_shift,7,,7,0,0.0,1,1047976601,3,234,stage2b_seed_234_base_1_regime_weak_village_information_policy_existing_with_ml_shadow_round_3_decision_3,stage2b_seed_234_base_1_regime_weak_village_information_policy_existing_with_ml_shadow,0,villager,0.012617794059400222,4,0,wolf,1,1,1
1,1,speech_disabled,existing_rule_forced_once,stage2b_existing_rule_after_forced_action,strong_shift,8,,8,1,0.0,0,280319442,3,233,stage2b_seed_233_base_1_regime_speech_disabled_policy_existing_with_ml_shadow_round_3_decision_3,stage2b_seed_233_base_1_regime_speech_disabled_policy_existing_with_ml_shadow,1,hunter,0.010551531620314858,4,0,wolf,1,1,1
1,1,speech_disabled,existing_rule_forced_once,stage2b_existing_rule_after_forced_action,strong_shift,8,,8,1,0.0,1,4212783914,3,233,stage2b_seed_233_base_1_regime_speech_disabled_policy_existing_with_ml_shadow_round_3_decision_3,stage2b_seed_233_base_1_regime_speech_disabled_policy_existing_with_ml_shadow,1,hunter,0.010551531620314858,4,0,wolf,1,1,1
1,1,speech_disabled,frozen_ml_forced_once,stage2b_existing_rule_after_forced_action,strong_shift,4,,4,1,0.0,0,2026502402,3,233,stage2b_seed_233_base_1_regime_speech_disabled_policy_existing_with_ml_shadow_round_3_decision_3,stage2b_seed_233_base_1_regime_speech_disabled_policy_existing_with_ml_shadow,0,villager,0.010551531620314858,4,0,wolf,1,1,1
1,1,speech_disabled,frozen_ml_forced_once,stage2b_existing_rule_after_forced_action,strong_shift,4,,4,1,0.0,1,3855153910,3,233,stage2b_seed_233_base_1_regime_speech_disabled_policy_existing_with_ml_shadow_round_3_decision_3,stage2b_seed_233_base_1_regime_speech_disabled_policy_existing_with_ml_shadow,0,villager,0.010551531620314858,4,0,wolf,1,1,1
3,3,heterogeneous_risk_preference,existing_rule_forced_once,stage2b_existing_rule_after_forced_action,in_distribution,3,,3,0,0.0,0,4035205802,1,222,stage2b_seed_222_base_1_regime_heterogeneous_risk_preference_policy_existing_with_ml_shadow_round_1_decision_1,stage2b_seed_222_base_1_regime_heterogeneous_risk_preference_policy_existing_with_ml_shadow,1,seer,0.019289272845420702,3,0,wolf,1,1,1
