avg_cumulative_ml_interventions,avg_ml_advantage_over_existing,avg_prior_ml_interventions,avg_strong_shift_flag,avg_top_two_predicted_value_margin,distribution_shift_category,policy_name,rows,wolf_win_rate
1.0,0.0,0.0,0.0,0.008612835640268613,in_distribution,continuous_frozen_ml,152,0.618421052631579
1.7080291970802919,0.0,0.708029197080292,0.0,0.010818783511186068,mild_shift,continuous_frozen_ml,137,0.6277372262773723
2.9394736842105265,0.0,1.9394736842105262,1.0,0.010815911463983929,strong_shift,continuous_frozen_ml,380,0.5868421052631579
0.0,0.0,0.0,0.0,0.009273276516839003,in_distribution,existing_rule,177,0.7344632768361582
0.0,0.0,0.0,0.0,0.009927391580822505,mild_shift,existing_rule,99,0.6666666666666666
0.0,0.0,0.0,1.0,0.012497894738078597,strong_shift,existing_rule,406,0.6970443349753694
0.0,0.0,0.0,0.0,0.009273276516839003,in_distribution,existing_with_ml_shadow,177,0.7344632768361582
0.0,0.0,0.0,0.0,0.009927391580822505,mild_shift,existing_with_ml_shadow,99,0.6666666666666666
0.0,0.0,0.0,1.0,0.012497894738078597,strong_shift,existing_with_ml_shadow,406,0.6970443349753694
0.0,0.025500011275570993,0.0,0.0,0.009273276516839003,in_distribution,high_confidence_shadow,177,0.7344632768361582
0.0,0.018631604285931247,0.0,0.0,0.009927391580822505,mild_shift,high_confidence_shadow,99,0.6666666666666666
0.0,0.02034149214280131,0.0,1.0,0.012497894738078597,strong_shift,high_confidence_shadow,406,0.6970443349753694
1.0,0.0,0.0,0.0,0.008612835640268613,in_distribution,ml_first_kill_only,152,0.756578947368421
1.0,0.0,0.6220472440944882,0.0,0.010183191029034061,mild_shift,ml_first_kill_only,127,0.6850393700787402
1.0,0.0,1.0,1.0,0.011969114875574274,strong_shift,ml_first_kill_only,405,0.7160493827160493
1.0,0.0,0.0,0.0,0.008612835640268613,in_distribution,ml_first_two_kills,152,0.6710526315789473
1.6496350364963503,0.0,0.708029197080292,0.0,0.010705648589113322,mild_shift,ml_first_two_kills,137,0.5912408759124088
2.0,0.0,1.6917098445595855,1.0,0.011324460432892872,strong_shift,ml_first_two_kills,386,0.616580310880829
0.33136094674556216,0.0,0.0,0.0,0.009104355106743926,in_distribution,ml_single_random_kill,169,0.6863905325443787
0.7192982456140351,0.0,0.2982456140350877,0.0,0.010571839179876781,mild_shift,ml_single_random_kill,114,0.6578947368421053
0.9018087855297158,0.0,0.6692506459948321,1.0,0.012304985630193705,strong_shift,ml_single_random_kill,387,0.6589147286821705
0.20903954802259886,0.025500011275570993,0.0,0.0,0.009273276516839003,in_distribution,selective_ml_override,177,0.7231638418079096
0.17,0.01883180563374168,0.17,0.0,0.010025732306470912,mild_shift,selective_ml_override,100,0.67
0.18427518427518427,0.019787165043906523,0.18427518427518427,1.0,0.012209080317278515,strong_shift,selective_ml_override,407,0.6855036855036855
