avg_rounds,avg_total_ml_interventions,behavioral_regime_id,games,policy_name,strong_shift_decision_rate,wolf_win_rate
3.7,0.0,strong_village_information,20,existing_with_ml_shadow,0.6333333333333333,0.65
3.7,0.0,strong_village_information,20,high_confidence_shadow,0.6333333333333333,0.65
3.7,1.0,strong_village_information,20,ml_first_kill_only,0.6333333333333333,0.65
3.5,2.0,strong_village_information,20,ml_first_two_kills,0.6,0.85
3.45,1.0,strong_village_information,20,ml_single_random_kill,0.6291666666666667,0.7
3.7,0.25,strong_village_information,20,selective_ml_override,0.6333333333333333,0.65
3.2,3.2,weak_village_information,20,continuous_frozen_ml,0.48,0.7
3.15,0.0,weak_village_information,20,existing_rule,0.4875,0.8
3.15,0.0,weak_village_information,20,existing_with_ml_shadow,0.4875,0.8
3.15,0.0,weak_village_information,20,high_confidence_shadow,0.4875,0.8
3.4,1.0,weak_village_information,20,ml_first_kill_only,0.5608333333333333,0.75
3.25,2.0,weak_village_information,20,ml_first_two_kills,0.4875,0.65
3.4,0.95,weak_village_information,20,ml_single_random_kill,0.5483333333333333,0.75
3.3,0.25,weak_village_information,20,selective_ml_override,0.49833333333333335,0.75
