avg_avg_top_two_margin,avg_hunter_retaliations,avg_round_number,avg_special_role_kills,avg_strong_shift_decision_rate,avg_successful_night_kills,avg_total_ml_interventions,avg_witch_saves,intervention_count_band,policy_name,rows,wolf_win_rate
0.008755425251538553,0.5909090909090909,2.0,0.5454545454545454,0.25,1.4090909090909092,2.0,0.5909090909090909,2_interventions,continuous_frozen_ml,22,0.8636363636363636
0.01039022315048393,0.5955056179775281,3.5112359550561796,1.0449438202247192,0.5782771535580524,2.5842696629213484,3.5112359550561796,0.9269662921348315,3_plus_interventions,continuous_frozen_ml,178,0.5786516853932584
0.011177591286411288,0.705,3.41,2.285,0.5725,2.53,0.0,0.88,0_interventions,existing_rule,200,0.71
0.011177591286411288,0.705,3.41,2.285,0.5725,2.53,0.0,0.88,0_interventions,existing_with_ml_shadow,200,0.71
0.011177591286411288,0.705,3.41,2.285,0.5725,2.53,0.0,0.88,0_interventions,high_confidence_shadow,200,0.71
0.010643895656942355,0.645,3.42,2.125,0.5710833333333334,2.515,1.0,0.905,1_intervention,ml_first_kill_only,200,0.72
0.010390614025637117,0.595,3.375,1.655,0.5453333333333333,2.485,2.0,0.89,2_interventions,ml_first_two_kills,200,0.63
0.006397825868958938,0.16666666666666666,2.0,1.1666666666666667,0.16666666666666666,1.3333333333333333,0.0,0.6666666666666666,0_interventions,ml_single_random_kill,6,0.5
0.011111448509821377,0.6030927835051546,3.3917525773195876,1.9278350515463918,0.5619415807560137,2.4948453608247423,1.0,0.8969072164948454,1_intervention,ml_single_random_kill,194,0.6701030927835051
0.010513273232114394,0.7055214723926381,3.4049079754601226,2.2576687116564416,0.5746421267893661,2.5276073619631902,0.0,0.8773006134969326,0_interventions,selective_ml_override,163,0.6809815950920245
0.013148753604240828,0.6486486486486487,3.4864864864864864,2.2972972972972974,0.5554054054054054,2.6216216216216215,1.0,0.8648648648648649,1_intervention,selective_ml_override,37,0.7837837837837838
