avg_ml_advantage_over_existing,avg_stage2b_executed_ml_intervention,avg_strong_shift_flag,avg_top_two_predicted_value_margin,margin_band,policy_name,rows,wolf_win_rate
0.0,1.0,0.5387323943661971,0.015879159499562066,low_margin,continuous_frozen_ml,284,0.5563380281690141
0.0,1.0,0.7894736842105263,0.03620840280220403,medium_margin,continuous_frozen_ml,19,0.5263157894736842
0.0,1.0,0.5792349726775956,0.004654999353960954,very_low_margin,continuous_frozen_ml,366,0.6420765027322405
0.0,0.0,0.6125827814569537,0.016224472335632234,low_margin,existing_rule,302,0.7052980132450332
0.0,0.0,0.8709677419354839,0.03649462711924447,medium_margin,existing_rule,31,0.7096774193548387
0.0,0.0,0.5558739255014327,0.004777085637777447,very_low_margin,existing_rule,349,0.6991404011461319
0.0,0.0,0.6125827814569537,0.016224472335632234,low_margin,existing_with_ml_shadow,302,0.7052980132450332
0.0,0.0,0.8709677419354839,0.03649462711924447,medium_margin,existing_with_ml_shadow,31,0.7096774193548387
0.0,0.0,0.5558739255014327,0.004777085637777447,very_low_margin,existing_with_ml_shadow,349,0.6991404011461319
0.02566993601399987,0.0,0.6125827814569537,0.016224472335632234,low_margin,high_confidence_shadow,302,0.7052980132450332
0.027819367801446004,0.0,0.8709677419354839,0.03649462711924447,medium_margin,high_confidence_shadow,31,0.7096774193548387
0.017197580378188554,0.0,0.5558739255014327,0.004777085637777447,very_low_margin,high_confidence_shadow,349,0.6991404011461319
0.0,0.29931972789115646,0.6054421768707483,0.016194390531143014,low_margin,ml_first_kill_only,294,0.6972789115646258
0.0,0.037037037037037035,0.8518518518518519,0.037166371320246354,medium_margin,ml_first_kill_only,27,0.7407407407407407
0.0,0.30578512396694213,0.5619834710743802,0.00464260319783206,very_low_margin,ml_first_kill_only,363,0.7355371900826446
0.0,0.5818815331010453,0.554006968641115,0.016143772895125637,low_margin,ml_first_two_kills,287,0.5679442508710801
0.0,0.19047619047619047,0.7619047619047619,0.036419712645471905,medium_margin,ml_first_two_kills,21,0.6190476190476191
0.0,0.6239782016348774,0.5749318801089919,0.0047656398219891975,very_low_margin,ml_first_two_kills,367,0.667574931880109
0.0,0.28135593220338984,0.576271186440678,0.016231495056613577,low_margin,ml_single_random_kill,295,0.6542372881355932
0.0,0.21428571428571427,0.8571428571428571,0.037974123462494624,medium_margin,ml_single_random_kill,28,0.7142857142857143
0.0,0.3025936599423631,0.5561959654178674,0.00476740236247777,very_low_margin,ml_single_random_kill,347,0.6714697406340058
0.025291357362315182,0.1180327868852459,0.6131147540983607,0.016249194811259086,low_margin,selective_ml_override,305,0.6918032786885245
0.027422728327813395,0.03571428571428571,0.8571428571428571,0.035620035136154915,medium_margin,selective_ml_override,28,0.6785714285714286
0.017003869924032144,0.0,0.5584045584045584,0.004728414421691147,very_low_margin,selective_ml_override,351,0.6951566951566952
