behavioral_regime_id,distribution_shift_category,existing_rule_target,failure_reason,frozen_ml_target,game_id,matched_set_id,policy_name,round,seed,selected_target,selected_target_role,top_two_predicted_value_margin
baseline_speech_enabled,in_distribution,8,low_margin_decision,7,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_high_confidence_shadow,stage2b_seed_220_base_1_regime_baseline_speech_enabled,high_confidence_shadow,1,220,8,seer,0.0059941611868955524
baseline_speech_enabled,mild_shift,8,low_margin_decision,6,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_high_confidence_shadow,stage2b_seed_220_base_1_regime_baseline_speech_enabled,high_confidence_shadow,2,220,8,seer,0.0019067468389790676
baseline_speech_enabled,strong_shift,6,strong_distribution_shift,7,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_high_confidence_shadow,stage2b_seed_220_base_1_regime_baseline_speech_enabled,high_confidence_shadow,3,220,6,hunter,0.00042544890359841325
baseline_speech_enabled,strong_shift,10,strong_distribution_shift,9,stage2b_seed_220_base_1_regime_baseline_speech_enabled_policy_high_confidence_shadow,stage2b_seed_220_base_1_regime_baseline_speech_enabled,high_confidence_shadow,4,220,10,villager,0.013159458100163612
speech_disabled,mild_shift,2,low_margin_decision,7,stage2b_seed_220_base_1_regime_speech_disabled_policy_ml_first_kill_only,stage2b_seed_220_base_1_regime_speech_disabled,ml_first_kill_only,1,220,7,villager,0.01490239397049653
speech_disabled,mild_shift,2,low_margin_decision,10,stage2b_seed_220_base_1_regime_speech_disabled_policy_ml_first_kill_only,stage2b_seed_220_base_1_regime_speech_disabled,ml_first_kill_only,2,220,2,seer,0.004553000504926574
speech_disabled,strong_shift,2,strong_distribution_shift,5,stage2b_seed_220_base_1_regime_speech_disabled_policy_ml_first_kill_only,stage2b_seed_220_base_1_regime_speech_disabled,ml_first_kill_only,3,220,2,seer,0.002232105362725334
speech_disabled,in_distribution,2,low_margin_decision,7,stage2b_seed_220_base_1_regime_speech_disabled_policy_ml_single_random_kill,stage2b_seed_220_base_1_regime_speech_disabled,ml_single_random_kill,1,220,2,seer,0.01490239397049653
speech_disabled,strong_shift,10,strong_distribution_shift,3,stage2b_seed_220_base_1_regime_speech_disabled_policy_ml_single_random_kill,stage2b_seed_220_base_1_regime_speech_disabled,ml_single_random_kill,2,220,3,hunter,0.03135864683204492
speech_disabled,strong_shift,3,strong_distribution_shift,3,stage2b_seed_220_base_1_regime_speech_disabled_policy_ml_single_random_kill,stage2b_seed_220_base_1_regime_speech_disabled,ml_single_random_kill,4,220,3,hunter,0.03135864683204492
