seed,mean_wolf_win_rate_pp,sd_wolf_win_rate_pp,seed_mean_z,outlier_flag_abs_z_ge_2
42,61.06,3.25,-0.40,False
43,60.49,3.33,-1.11,False
44,61.74,3.87,0.46,False
45,62.57,3.48,1.49,False
46,61.03,3.11,-0.43,False
